,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,29,13,16,0.448,-0.45,2.14,,3,11,,9,7,,2,7,,1786,1798,,62.9,97.1,0.388,0.411,0.545,43.6,65.4,10.5,10.5,0.515,18.5,20.4,0.262
2,Akron,34,22,12,0.647,6.33,0.72,,13,3,,13,2,,8,8,,2456,2241,,67.5,106.2,0.394,0.298,0.55,49.2,54.7,10.7,10.4,0.517,17.7,35.2,0.273
3,Alabama A&M,28,7,21,0.25,-19.33,-10.79,,5,13,,6,5,,1,15,,1764,1964,,68.8,90.8,0.361,0.305,0.49,45.5,49.9,9.2,10.7,0.457,20.4,31.1,0.233
4,Alabama-Birmingham,31,15,16,0.484,2.61,3.64,,9,7,,8,7,,5,7,,1875,1907,,62,97.2,0.363,0.334,0.513,50.2,53.8,7.1,9.4,0.477,19.4,34.8,0.249
5,Alabama State,31,12,19,0.387,-15.79,-9.96,,9,9,,7,4,,4,14,,1840,1995,,65.6,88.7,0.354,0.362,0.46,46,55.1,11.4,8.4,0.433,19,33.1,0.207
6,Alabama NCAA,33,21,12,0.636,13.76,7.18,,9,7,,12,3,,4,6,,2135,1918,,62.9,102.2,0.362,0.273,0.529,49.9,51.7,11.4,12,0.491,17.3,33.5,0.257
7,Albany (NY),34,19,15,0.559,-3.92,-6.92,,9,7,,10,4,,6,10,,2453,2351,,65.7,109.4,0.367,0.356,0.553,49.2,50.4,8.6,7.5,0.511,16.2,35.2,0.277
8,Alcorn State,32,10,22,0.313,-19.57,-10.61,,6,12,,7,5,,2,14,,1926,2148,,68.7,89.7,0.363,0.252,0.492,43.2,42.1,9.3,8.5,0.451,19.8,28.1,0.252
9,American,32,20,12,0.625,-3.12,-5.24,,10,4,,13,2,,7,10,,2059,1991,,62.9,102,0.338,0.343,0.529,46.5,56.7,7.2,8,0.493,15.4,27.1,0.242
10,Appalachian State,31,13,18,0.419,-6.93,-3.28,,7,11,,9,5,,3,11,,2121,2175,,68,100.2,0.387,0.349,0.529,47.9,50.8,8.8,9.7,0.501,18.1,31,0.252
11,Arizona State,31,10,21,0.323,-1.01,4.31,,6,12,,7,10,,2,7,,1891,2056,,63.4,96.3,0.413,0.345,0.549,49.2,57.6,8.8,11.7,0.517,22.7,29.6,0.279
12,Arizona,35,23,12,0.657,10.91,4.62,,12,6,,14,4,,6,4,,2416,2196,,65,105.4,0.445,0.377,0.55,49.1,59.5,8.5,8.9,0.51,16.9,31.5,0.313
13,Little Rock,31,15,16,0.484,-1.94,0.03,,12,4,,9,6,,6,8,,1974,1990,,65.2,96.2,0.406,0.297,0.5,45.5,48.2,9.6,9.2,0.455,16.4,27.8,0.283
14,Arkansas-Pine Bluff,33,11,22,0.333,-16.77,-8.34,,9,9,,6,3,,3,15,,2013,2291,,66.3,91.7,0.421,0.284,0.491,45.7,52.1,10.5,11.3,0.455,19.3,31.5,0.268
15,Arkansas State,34,14,20,0.412,-3.18,-0.52,,6,10,,10,5,,2,14,,2198,2239,,64.1,100,0.416,0.269,0.518,49.1,43,9.6,6,0.482,17.8,34.6,0.278
16,Arkansas,32,18,14,0.563,5.76,3.63,,6,10,,17,3,,1,9,,2299,2231,,70.2,102.4,0.372,0.312,0.525,44.6,53.6,11.8,12.8,0.49,15.9,31.5,0.257
17,Army,30,12,18,0.4,-11.26,-7.16,,5,9,,9,6,,3,11,,2027,2091,,69.4,96.1,0.371,0.417,0.536,44.4,59.4,8.8,5.3,0.496,19.8,24.3,0.269
18,Auburn,31,15,16,0.484,2.52,3.84,,5,11,,14,3,,1,10,,1942,1983,,65,95.2,0.364,0.31,0.496,47.4,55.5,9.8,14,0.464,18.1,31.9,0.236
