,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
19,Austin Peay,32,12,20,0.375,-4.86,-0.66,,8,8,,8,5,,4,12,,2216,2324,,68.2,100.7,0.413,0.243,0.52,46.5,49,10.5,9.3,0.484,17.9,34.4,0.277
20,Ball State,30,15,15,0.5,-2.93,-4.45,,6,10,,10,5,,5,9,,1901,1822,,62.5,101.4,0.393,0.378,0.521,49.1,61.8,9.7,7.9,0.483,17.5,34.4,0.271
21,Baylor NCAA,38,30,8,0.789,16.54,8.03,,12,6,,14,3,,8,3,,2839,2483,,67.1,111,0.353,0.315,0.566,52,56.8,11.2,12.5,0.528,17.2,38.4,0.266
22,Belmont NCAA,35,27,8,0.771,11.81,-1.22,,16,2,,13,1,,10,6,,2831,2363,,68.7,117,0.385,0.403,0.591,49.7,62.2,10.5,5.7,0.558,15.2,34.5,0.282
23,Bethune-Cookman,35,18,17,0.514,-9.11,-7.05,,11,5,,9,3,,5,12,,2276,2319,,64.9,99.9,0.371,0.276,0.512,45.5,50.9,10.6,7.6,0.48,17.5,34.6,0.244
24,Binghamton,31,2,29,0.065,-20.14,-6.24,,1,15,,1,13,,0,15,,1762,2193,,65.1,86.9,0.341,0.277,0.48,44,55.2,9.2,6.2,0.439,20.1,26.8,0.238
25,Boise State,30,13,17,0.433,3.52,3.14,,3,11,,11,5,,1,11,,2050,1988,,65.2,104.3,0.356,0.402,0.53,49.9,48.9,9.3,5.9,0.497,15.9,32.2,0.246
26,Boston College,31,9,22,0.29,-4.54,4.89,,4,12,,8,9,,0,10,,1833,2125,,64.7,90.3,0.337,0.43,0.512,42.9,56.3,7.5,7.6,0.481,20.2,22.4,0.227
27,Boston University,32,16,16,0.5,-3.74,-4.09,,12,4,,7,5,,8,9,,2045,2034,,64.4,98.8,0.34,0.369,0.513,47.7,51.2,9,8.7,0.481,17.9,31.8,0.229
28,Bowling Green State,32,16,16,0.5,1.23,0.07,,9,7,,12,4,,4,12,,2125,2046,,64.8,102.1,0.264,0.257,0.526,48.7,53.2,11.9,9,0.502,17.4,34.1,0.18
29,Bradley,32,7,25,0.219,-5.79,3.62,,2,16,,6,10,,1,12,,1955,2256,,67.3,90.7,0.363,0.292,0.485,45.3,49.8,9.5,8.2,0.444,17.8,26.3,0.248
30,Brigham Young NCAA,35,26,9,0.743,11.25,1.55,,12,4,,13,3,,8,3,,2727,2358,,73,106.7,0.367,0.323,0.553,50.2,61.3,11.6,11.9,0.521,16.1,30.6,0.257
31,Brown,31,8,23,0.258,-12.52,-3.62,,2,12,,6,9,,1,12,,1907,2154,,65.4,94.1,0.285,0.382,0.495,44.4,60.3,8,6.7,0.473,16.6,24.9,0.179
32,Bryant,30,2,28,0.067,-17.9,-4.27,,1,17,,1,10,,0,17,,1852,2261,,66.3,92.6,0.295,0.424,0.499,43.5,57.3,6.7,5.8,0.468,19.2,27.6,0.204
33,Bucknell,35,25,10,0.714,3.57,-3.08,,12,2,,14,3,,11,7,,2410,2147,,64,107.6,0.379,0.29,0.563,52.9,57.2,6.8,9.5,0.518,16.3,30,0.293
34,Buffalo,31,20,11,0.645,4.15,0.15,,12,4,,12,2,,8,8,,2262,2090,,68.7,105.8,0.384,0.347,0.552,52.2,63.4,8.1,13.1,0.526,18.5,35.7,0.253
35,Butler,37,22,15,0.595,2.86,1.14,,11,7,,13,6,,7,9,,2352,2245,,64.5,97.5,0.4,0.323,0.491,50.5,55.2,9.9,10.1,0.454,16.8,35.7,0.26
36,Cal Poly,33,18,15,0.545,-0.58,-3.78,,8,8,,10,4,,5,10,,2136,1998,,60.4,107.1,0.291,0.357,0.521,51.9,54,9.4,4.8,0.492,14.6,36.7,0.203
37,Cal State Bakersfield,31,16,15,0.516,-7.15,-3.65,,0,0,,10,3,,6,12,,2121,2154,,66.2,103,0.35,0.323,0.543,47.9,57.7,12,11,0.513,18.9,34.9,0.239
38,Cal State Fullerton,31,21,10,0.677,-1.18,-5.32,,12,4,,13,1,,7,7,,2417,2205,,70.3,110.9,0.396,0.373,0.577,51.5,55.7,8,7.1,0.548,18.5,36.9,0.275
39,Cal State Northridge,28,7,21,0.25,-12.65,-2.61,,3,13,,4,8,,3,13,,1908,2101,,69,98.2,0.361,0.332,0.487,46.3,58.5,9,7.5,0.434,16.4,36.2,0.273
40,UC-Davis,31,5,26,0.161,-15.6,-2.63,,3,13,,4,8,,1,14,,1924,2307,,66.6,93.2,0.328,0.403,0.516,43.3,56.1,7.3,5.8,0.484,20.4,27,0.224
41,UC-Irvine,32,12,20,0.375,-6.07,-1.24,,6,10,,8,6,,3,11,,2179,2309,,69.9,96.7,0.318,0.376,0.509,46.7,63.5,6.9,10.4,0.484,18.6,31,0.203
42,UC-Riverside,31,14,17,0.452,-8.01,-2.22,,7,9,,8,5,,5,9,,1841,1954,,63.3,92,0.298,0.253,0.483,45.6,45,7.4,11.4,0.449,17.7,29.1,0.206
43,UC-Santa Barbara,31,20,11,0.645,4,-1.38,,12,4,,11,3,,7,7,,2262,2059,,64.6,111.2,0.342,0.338,0.554,51.1,57.4,8.5,13.5,0.525,15.2,36.3,0.237
44,University of California NCAA,34,24,10,0.706,13.79,4.53,,13,5,,17,1,,5,6,,2419,2104,,66.3,107.3,0.341,0.229,0.554,51.4,60.5,7.1,8,0.517,15.8,32.1,0.254
45,Campbell,32,17,15,0.531,-6.06,-4.8,,11,7,,11,2,,6,12,,2370,2361,,69.6,106,0.435,0.259,0.562,48.9,58.6,8.8,14.2,0.532,17.7,31.5,0.291
46,Canisius,30,5,25,0.167,-14.73,-4.53,,1,17,,3,10,,2,14,,1965,2271,,67.6,96.1,0.291,0.335,0.499,45.8,46.4,9.4,6.8,0.462,18.3,33.9,0.211
47,Central Arkansas,29,8,21,0.276,-17.26,-4.83,,3,13,,6,7,,2,14,,2058,2371,,74.2,94,0.321,0.26,0.474,45,54.2,10.7,7.3,0.457,17,33.9,0.178
48,Central Connecticut State,29,13,16,0.448,-5.36,-5.05,,10,8,,10,3,,3,12,,2029,2038,,68.9,100.2,0.324,0.31,0.521,44.9,54.8,11.6,9.3,0.478,17.9,33.3,0.246
49,Central Florida,33,22,11,0.667,4.33,2.98,,10,6,,16,1,,3,9,,2166,2096,,64.3,102.1,0.406,0.333,0.511,49.5,48.8,9.8,11.8,0.482,16.4,36.5,0.254
50,Central Michigan,32,11,21,0.344,-6.74,-1.62,,5,11,,6,6,,3,13,,1980,2134,,64.4,95.3,0.335,0.343,0.482,45.2,47,10.3,10.1,0.452,16.1,32,0.213
51,Charleston Southern,31,19,12,0.613,-2.19,-4.33,,11,7,,12,2,,5,10,,2383,2242,,70.9,108,0.353,0.365,0.547,48.4,47.4,11.4,7.2,0.517,16,34.3,0.243
52,Charlotte,30,13,17,0.433,0.99,2.86,,5,11,,7,7,,6,10,,2010,2066,,68.8,96.6,0.39,0.351,0.504,47.1,56.6,11.7,8,0.469,17.4,30,0.257
53,Chattanooga,32,11,21,0.344,-6.99,-3.54,,5,13,,11,6,,0,14,,2260,2204,,69.5,100.5,0.386,0.391,0.516,49.7,59.6,9,3.7,0.479,16.8,31.5,0.265
54,Chicago State,30,4,26,0.133,-19.3,-3.13,,2,8,,3,9,,1,17,,1884,2313,,71.5,87.5,0.312,0.304,0.474,45.2,46.5,9.9,9.3,0.442,20.3,30.1,0.204
55,Cincinnati NCAA,37,26,11,0.703,12.93,6.28,,12,6,,14,4,,7,5,,2522,2276,,64.1,104.9,0.293,0.348,0.505,48.1,51.8,12.4,12,0.48,13.9,35.7,0.189
56,Citadel,30,6,24,0.2,-14.49,-3.67,,3,15,,4,10,,1,12,,1925,2158,,66.1,95.5,0.334,0.302,0.516,45.9,56.8,8.9,4.5,0.488,19.1,29.5,0.22
57,Clemson,31,16,15,0.516,7.31,3.41,,8,8,,11,5,,4,7,,2001,1880,,63.3,101.2,0.314,0.313,0.512,48.8,53.3,11.7,10.7,0.483,16.1,33,0.21
58,Cleveland State,33,22,11,0.667,5.27,0.12,,12,6,,10,4,,11,5,,2177,1983,,64.3,102.7,0.276,0.333,0.535,47.9,56.1,13.2,10.3,0.508,18.4,35.1,0.196
59,Coastal Carolina,31,19,12,0.613,-2.64,-4.56,,12,6,,12,4,,7,7,,2248,2042,,66.8,107.7,0.332,0.251,0.554,52.3,47.7,9.7,10.4,0.529,17.4,35.6,0.224
60,Colgate,30,8,22,0.267,-14.91,-4.38,,2,12,,5,8,,3,14,,1893,2209,,65.7,95.3,0.355,0.336,0.529,46.3,55,5.6,6.1,0.495,19.7,26,0.245
61,College of Charleston,31,19,12,0.613,-0.16,-2.54,,10,8,,10,4,,7,6,,2191,2117,,68.4,101.8,0.386,0.41,0.523,45,49.1,10.6,9,0.495,16.4,29.9,0.248
62,Colorado State NCAA,32,20,12,0.625,6.58,5.23,,8,6,,14,1,,3,9,,2243,2177,,64.5,107.4,0.423,0.292,0.576,49.2,50.9,8.2,5.7,0.53,17.3,28.7,0.324
63,Colorado NCAA,36,24,12,0.667,7.91,5.73,,11,7,,14,2,,4,7,,2429,2269,,66,101.9,0.432,0.305,0.538,50.2,50.5,8.8,9,0.499,17.2,30.1,0.299
64,Columbia,30,15,15,0.5,-2.9,-3.18,,4,10,,8,6,,5,9,,1955,1863,,63.5,101.8,0.321,0.356,0.535,49.6,55.6,9.5,6.3,0.497,16.6,29.1,0.238
65,Connecticut NCAA,34,20,14,0.588,12.27,8.07,,8,10,,13,4,,3,7,,2336,2193,,64.1,106,0.346,0.293,0.528,49.3,53.3,9,17.6,0.5,15.9,36.3,0.229
66,Coppin State,30,14,16,0.467,-9.07,-5.96,,9,7,,7,5,,6,9,,2213,2257,,69.5,105.7,0.341,0.453,0.545,44.5,58.6,8.3,4.8,0.515,16,30.1,0.236
67,Cornell,28,12,16,0.429,-4.05,-0.98,,7,7,,10,3,,2,13,,1833,1898,,67.7,95,0.315,0.406,0.509,43.8,59.3,11.3,8.9,0.477,17.3,25.2,0.216
68,Creighton NCAA,35,29,6,0.829,12.92,3.41,,14,4,,14,2,,10,3,,2772,2439,,67.3,116.9,0.381,0.35,0.607,52.1,63.2,7.1,5.8,0.578,15.6,30.8,0.276
69,Dartmouth,30,5,25,0.167,-10.07,-3.56,,1,13,,4,9,,1,14,,1727,1904,,63.4,90.4,0.367,0.308,0.489,48,49.2,8.5,7.1,0.445,19.1,27.5,0.259
70,Davidson NCAA,33,25,8,0.758,7.26,-1.68,,16,2,,13,2,,8,5,,2571,2238,,68.8,112.4,0.371,0.386,0.555,52.1,51.8,8,8.7,0.511,14.3,35.4,0.283
71,Dayton,33,20,13,0.606,8.48,4.3,,9,7,,14,4,,3,8,,2369,2231,,65,108.7,0.335,0.403,0.549,50.5,58,8,7.2,0.507,16.6,36.3,0.26
72,Delaware State,29,15,14,0.517,-8.07,-6.78,,12,4,,8,5,,7,8,,1917,1868,,62.1,104.2,0.312,0.323,0.523,42,49.3,12.4,17.1,0.491,14,30.3,0.219
73,Delaware,32,18,14,0.563,-1.61,-2.18,,12,6,,11,3,,6,10,,2206,2188,,67.2,100.6,0.434,0.31,0.523,46.6,40.5,6.8,11.3,0.475,16.3,28.9,0.311
74,Denver,31,22,9,0.71,6.14,-1.47,,11,5,,14,2,,7,6,,2112,1876,,61.3,109.8,0.352,0.429,0.606,44.1,66.5,11.6,12.4,0.573,17.7,23.5,0.268
75,DePaul,31,12,19,0.387,1.99,4.57,,3,15,,7,9,,3,8,,2298,2378,,71.8,102.9,0.264,0.342,0.522,42.7,55.3,11,9.2,0.495,15.8,31.4,0.184
76,Detroit Mercy NCAA,36,22,14,0.611,2.4,-0.01,,11,7,,13,4,,6,8,,2597,2432,,67.1,107.1,0.427,0.275,0.538,49.2,51.3,11.2,13.2,0.491,15.7,35.8,0.312
77,Drake,34,18,16,0.529,2.44,2.96,,9,9,,13,3,,3,10,,2279,2271,,67,98.5,0.418,0.326,0.53,46.2,44.4,10.2,8.3,0.498,17,24.7,0.274
78,Drexel,36,29,7,0.806,7.37,-1.8,,16,2,,15,1,,11,3,,2350,2020,,60.9,107.2,0.39,0.321,0.544,52.5,57.7,7.9,9.5,0.501,16.3,34.4,0.289
79,Duke NCAA,34,27,7,0.794,17.05,8.4,,13,3,,13,3,,8,1,,2628,2334,,68.3,112.3,0.451,0.386,0.565,49.8,48.4,9,9,0.528,15.1,34.7,0.316
80,Duquesne,31,16,15,0.516,4.09,3.96,,7,9,,9,5,,4,9,,2252,2232,,69.2,104.5,0.37,0.333,0.536,41.7,58.7,11.1,9.4,0.507,15.1,29.6,0.247
81,East Carolina,31,15,16,0.484,2.42,2.53,,5,11,,10,7,,3,8,,2136,2019,,66.8,102.3,0.346,0.394,0.535,47.8,60.5,11.5,11.1,0.505,17.6,31.5,0.237
82,East Tennessee State,31,17,14,0.548,-0.41,-1.78,,10,8,,10,3,,6,10,,2098,2017,,66.7,101.5,0.392,0.236,0.507,48.2,42.1,15.3,10.2,0.477,16.8,36.8,0.249
83,Eastern Illinois,29,12,17,0.414,-11.48,-6.48,,5,11,,7,7,,5,10,,1896,1984,,64.2,100.5,0.312,0.272,0.523,46,55.7,8.7,6.3,0.482,17.3,32,0.236
84,Eastern Kentucky,32,16,16,0.5,-8.47,-5.93,,7,9,,11,3,,4,11,,2123,2117,,62.8,104,0.321,0.397,0.537,44.1,50.8,11.7,5.4,0.501,14.9,27.9,0.236
85,Eastern Michigan,32,14,18,0.438,-7.9,-1.68,,9,7,,9,4,,5,13,,1704,1878,,59.5,88.8,0.358,0.322,0.468,44.7,53.2,11.8,10.5,0.424,19.4,32.3,0.248
86,Eastern Washington,32,15,17,0.469,-3.87,-3.23,,8,8,,9,4,,6,13,,2326,2284,,69.1,104.7,0.344,0.414,0.522,45.9,49.5,10.3,10.7,0.486,14.5,31.4,0.244
87,Elon,31,15,16,0.484,-7.41,-3.03,,9,9,,10,4,,4,11,,2175,2226,,70.5,98.3,0.322,0.366,0.515,46,52.9,6.7,6.5,0.486,16.9,28.2,0.217
88,Evansville,32,16,16,0.5,3.46,3.56,,9,9,,11,7,,4,8,,2351,2327,,67.4,106.1,0.431,0.261,0.561,43.2,63.5,11,5,0.512,16.2,26.9,0.329
89,Fairfield,37,22,15,0.595,2.94,-1.34,,12,6,,12,4,,5,8,,2417,2259,,65.2,100.2,0.327,0.336,0.53,48.1,62.6,12.8,11,0.506,19.2,34.2,0.213
90,Fairleigh Dickinson,29,3,26,0.103,-16.99,-5.06,,2,16,,2,11,,1,15,,1762,2108,,68.2,89,0.327,0.247,0.48,45.1,49.2,8.4,10.1,0.447,19.3,29.5,0.216
91,Florida A&M,33,10,23,0.303,-15.58,-6.29,,6,10,,5,8,,3,12,,2175,2416,,70,93.5,0.283,0.282,0.475,45.2,42,11.6,10.9,0.451,18.5,36.3,0.174
92,Florida Atlantic,30,11,19,0.367,-2.58,0.77,,7,9,,6,5,,4,11,,1977,2046,,64.8,99.2,0.289,0.353,0.5,45.9,53.2,10.1,10.5,0.473,15.6,32.9,0.192
93,Florida Gulf Coast,32,15,17,0.469,-2.41,-1.96,,8,10,,9,5,,5,11,,2306,2306,,68.5,104.4,0.337,0.372,0.55,47.9,52,11.8,11.1,0.525,18.5,34,0.226
94,Florida International,29,8,21,0.276,-5.07,-1.1,,5,11,,2,9,,5,9,,1836,1951,,64.4,97,0.388,0.295,0.512,45.7,43,11.4,11.8,0.466,19.1,32.8,0.281
95,Florida State NCAA,35,25,10,0.714,14.53,7.62,,12,4,,15,2,,5,5,,2443,2201,,67.3,102.3,0.348,0.318,0.545,50,48.7,11.1,17,0.512,19.7,35,0.246
96,Florida NCAA,37,26,11,0.703,18.25,7.33,,10,6,,14,2,,4,7,,2808,2404,,65.1,115.4,0.332,0.446,0.576,49.2,56.5,9.6,8.8,0.548,14.4,33.5,0.237
97,Fordham,29,10,19,0.345,-7.63,1.92,,3,13,,9,6,,1,13,,1797,2074,,67.5,91.4,0.316,0.29,0.452,47,52.3,9.6,15.2,0.423,16.7,36.2,0.193
98,Fresno State,33,13,20,0.394,-0.91,0.77,,3,11,,9,5,,3,12,,2170,2181,,63.1,101.5,0.37,0.339,0.507,44.7,50.1,11,9.3,0.463,14.1,29.9,0.267
99,Furman,31,15,16,0.484,-6.04,-3.9,,8,10,,9,5,,5,10,,2006,2022,,64.6,100.2,0.369,0.378,0.518,49.4,49.6,8,9.2,0.478,18.2,34.9,0.264
100,Gardner-Webb,32,12,20,0.375,-7.99,-4.82,,6,12,,9,4,,3,15,,2103,2138,,66,98.3,0.344,0.34,0.501,49,50.2,10.4,7.2,0.468,17.6,34.9,0.229
101,George Mason,33,24,9,0.727,3.81,-1.67,,14,4,,15,1,,7,6,,2323,2142,,67.6,102.5,0.409,0.263,0.544,49.5,51.6,9.9,12.9,0.507,19.1,33.9,0.286
102,George Washington,31,10,21,0.323,-0.63,4.15,,5,11,,6,8,,2,12,,1921,2069,,64,96.8,0.285,0.23,0.49,47.2,52.1,10.3,10.1,0.462,17.2,35.8,0.189
103,Georgetown NCAA,33,24,9,0.727,16.81,7.69,,12,6,,15,1,,6,5,,2278,1959,,63.3,107.4,0.386,0.308,0.552,52.1,55.6,9.4,13.2,0.519,16.8,35.8,0.27
104,Georgia Southern,30,15,15,0.5,-6.7,-3.78,,12,6,,10,2,,4,12,,2002,2033,,66.7,98.8,0.319,0.289,0.541,46.7,49.5,11.2,6.7,0.516,19.7,29.1,0.212
105,Georgia State,34,22,12,0.647,5.69,-2.99,,11,7,,13,3,,8,6,,2298,2003,,65.2,102.2,0.343,0.29,0.51,48.5,50.7,14,15.8,0.481,15,32.5,0.225
106,Georgia Tech,31,11,20,0.355,1.74,4.13,,4,12,,7,8,,3,9,,1866,1940,,63.2,94.8,0.287,0.309,0.501,50.4,48.6,8.2,14,0.475,19.4,33.5,0.188
107,Georgia,32,15,17,0.469,5.92,7.95,,5,11,,11,6,,2,9,,1950,2015,,61.4,98,0.303,0.37,0.487,46.4,50.4,10,11.3,0.453,14.2,30.5,0.208
108,Gonzaga NCAA,33,26,7,0.788,13.86,3.25,,13,3,,15,1,,6,4,,2436,2086,,66.4,110.7,0.461,0.326,0.574,52,55.3,10.1,8.5,0.535,17,34.6,0.33
109,Grambling,28,4,24,0.143,-26.82,-9.39,,4,14,,1,9,,3,15,,1513,2001,,66.5,80.9,0.357,0.287,0.445,42.4,46.3,7.2,8.7,0.398,21.2,27.8,0.247
110,Green Bay,30,15,15,0.5,-2.32,1.04,,10,8,,12,2,,3,13,,1935,1982,,65.6,97.9,0.332,0.281,0.51,48.1,53.2,9.2,12.1,0.473,18.3,33.5,0.234
111,Hampton,33,12,21,0.364,-10.08,-7.93,,6,10,,6,5,,1,13,,2134,2205,,67.9,94.5,0.387,0.345,0.486,46.4,47.2,10,12.9,0.452,17.6,32.6,0.248
112,Hartford,31,9,22,0.29,-13.41,-6.19,,7,9,,4,8,,4,12,,1860,2084,,65.6,90,0.308,0.466,0.514,41.7,62.1,9.9,6.1,0.486,20.9,21.7,0.205
113,Harvard NCAA,31,26,5,0.839,7.84,-1.56,,12,2,,11,1,,12,3,,2033,1724,,60.9,107.3,0.411,0.348,0.571,51.3,57.7,9.7,12.1,0.529,17.5,30.3,0.307
114,Hawaii,32,16,16,0.5,-2.79,-0.52,,6,8,,8,7,,3,7,,2356,2387,,70.7,102.9,0.434,0.277,0.539,49.2,56.9,7.9,7.9,0.506,18.2,34.7,0.289
115,High Point,31,13,18,0.419,-5.92,-4.13,,8,10,,10,6,,3,12,,2203,2176,,65.1,107.4,0.385,0.386,0.548,46.2,52.1,8.5,8.3,0.517,16.1,31.8,0.264
116,Hofstra,32,10,22,0.313,-2.98,-1.1,,3,15,,8,9,,1,11,,2091,2151,,66.9,97.7,0.431,0.269,0.501,47.3,55.6,11.4,7.5,0.449,17.5,33.5,0.309
117,Holy Cross,29,15,14,0.517,-6.02,-4.23,,9,5,,11,3,,4,11,,1886,1938,,66.1,98.3,0.332,0.312,0.521,48,54.5,8.7,12,0.483,17.9,30,0.239
118,Houston Baptist,30,10,20,0.333,-16.07,-6.1,,3,7,,9,5,,0,13,,2208,2344,,74.4,98,0.378,0.258,0.503,45.5,47.4,10,4.2,0.464,17.6,33.6,0.259
119,Houston,30,15,15,0.5,0.04,0.21,,7,9,,13,5,,1,8,,2152,2147,,67.7,104.7,0.33,0.271,0.543,49.9,50.1,7.6,11.8,0.512,18,35.2,0.232
120,Howard,31,10,21,0.323,-14.59,-4.16,,6,10,,6,5,,3,14,,1881,2174,,67.8,89.1,0.461,0.272,0.478,47.4,45.8,9,8.7,0.427,21.3,35,0.313
121,Idaho State,30,9,21,0.3,-11.05,-2.77,,7,9,,5,8,,4,13,,1979,2192,,65.9,97.7,0.35,0.34,0.513,43.6,51.7,10.4,6.8,0.479,17.9,30.9,0.24
122,Idaho,33,19,14,0.576,0.77,-0.43,,9,5,,11,4,,8,8,,2298,2240,,64.3,107.5,0.412,0.324,0.568,49.5,60.2,7.2,10.9,0.54,17.9,32.5,0.277
123,Illinois-Chicago,30,8,22,0.267,-9.16,-1.3,,3,15,,7,7,,1,15,,1826,2033,,64.1,94.2,0.335,0.368,0.489,47,53.6,7.7,7.9,0.455,19,34,0.224
124,Illinois State,35,21,14,0.6,6.33,2.64,,9,9,,14,3,,4,9,,2439,2310,,64.4,106.2,0.386,0.427,0.562,49.3,57.1,7.7,9.4,0.52,16.3,27.7,0.291
125,Illinois,32,17,15,0.531,9.33,7.99,,6,12,,13,4,,2,8,,2098,2055,,64.5,100.5,0.304,0.351,0.527,48.7,52.2,7.8,11.9,0.494,17.8,31.3,0.217
126,Indiana State,33,18,15,0.545,2.08,3.08,,8,10,,11,4,,4,9,,2120,2141,,64.4,98.6,0.383,0.342,0.522,47,55,9,8.6,0.478,16.6,26.3,0.276
127,Indiana NCAA,36,27,9,0.75,18.63,7.8,,11,7,,18,1,,5,6,,2782,2392,,66.9,115.5,0.445,0.275,0.596,50.8,51.3,9.7,8.5,0.552,16.5,35.3,0.34
128,Iona NCAA,33,25,8,0.758,8.36,-1.82,,15,3,,10,1,,11,4,,2736,2400,,71.4,114.8,0.303,0.323,0.588,48.1,62.5,10.1,5.5,0.565,15.1,32.1,0.216
129,Iowa State NCAA,34,23,11,0.676,13.32,7.32,,12,6,,16,2,,4,7,,2490,2286,,67.5,108.5,0.387,0.416,0.557,51.8,57.1,8.5,7.1,0.526,15.8,32.3,0.266
130,Iowa,35,18,17,0.514,7.04,6.53,,8,10,,14,6,,3,9,,2555,2537,,68.2,107,0.385,0.272,0.544,48.1,57.8,11,9.3,0.505,15.6,32.9,0.277
131,Purdue-Fort Wayne,30,11,19,0.367,-8.79,-2.05,,5,13,,8,5,,3,13,,2100,2242,,69.7,100.1,0.371,0.297,0.533,48.3,54.2,9,6.8,0.5,18,31,0.253
132,IUPUI,32,14,18,0.438,-3.85,-1.75,,7,11,,9,5,,3,12,,2319,2329,,66.4,107.8,0.345,0.284,0.539,46.9,45.8,10.1,7.6,0.493,15,34.7,0.268
133,Jackson State,31,7,24,0.226,-17.5,-7,,5,13,,4,7,,2,16,,1737,2042,,63.3,87.2,0.334,0.251,0.462,45.9,41.7,11.2,9.1,0.422,20.2,33.7,0.227
134,Jacksonville State,33,15,18,0.455,-4.86,-5.23,,8,8,,9,4,,3,10,,2143,2106,,65.1,99,0.421,0.303,0.507,46.7,53.3,11.2,10.5,0.466,17.3,33.5,0.286
135,Jacksonville,30,8,22,0.267,-7.3,0.1,,6,12,,5,6,,3,15,,1951,2173,,66.8,96.5,0.35,0.281,0.495,47.7,51.4,10.9,9.9,0.463,18.6,36.3,0.23
136,James Madison,32,12,20,0.375,-5.86,-2.11,,5,13,,5,9,,5,9,,2115,2235,,66.2,99.1,0.314,0.381,0.519,43.4,57.2,10,6.8,0.492,16.9,29.1,0.209
