,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,18,14,0.563,4.18,4.28,,8,8,,13,2,,3,11,,2241,2170,,64.8,107.6,0.314,0.421,0.577,45.8,63.9,9.9,5.5,0.551,16.4,24.8,0.224
2,Akron NCAA,33,26,7,0.788,8.11,0.18,,14,2,,15,1,,7,4,,2369,2071,,66.4,106.5,0.362,0.368,0.539,51.9,56.9,10.4,14.7,0.516,17.3,37.7,0.233
3,Alabama A&M,31,11,20,0.355,-18.4,-9.82,,6,12,,7,6,,3,12,,1957,2160,,67.4,92.5,0.373,0.302,0.476,46.9,52.7,8.6,7.9,0.443,17.8,32.4,0.235
4,Alabama-Birmingham,33,16,17,0.485,0.26,1.51,,7,9,,11,4,,4,10,,2357,2351,,71.3,99.8,0.296,0.331,0.522,48.3,61.7,11.4,6.8,0.488,18.4,33.7,0.214
5,Alabama State,32,10,22,0.313,-17.88,-9.01,,8,10,,7,5,,3,14,,1979,2231,,67,91.5,0.319,0.309,0.477,46.7,50.5,9.3,8.7,0.454,18.8,33.8,0.191
6,Alabama,36,23,13,0.639,9.79,5.93,,12,6,,16,4,,4,8,,2268,2102,,62.3,100.1,0.343,0.312,0.517,46.6,47,13,12.7,0.48,17,32,0.241
7,Albany (NY) NCAA,35,24,11,0.686,-0.87,-4.53,,9,7,,11,4,,11,5,,2251,2123,,62.8,102.1,0.4,0.329,0.541,48.9,51.8,8.7,5.9,0.496,18.4,31.7,0.295
8,Alcorn State,34,10,24,0.294,-14.26,-7.11,,8,10,,5,8,,4,14,,2055,2248,,69,87.2,0.373,0.298,0.462,45.3,42.4,9.4,10.3,0.428,18.7,29.6,0.232
9,American,30,10,20,0.333,-8.56,-2.53,,5,9,,7,6,,3,14,,1735,1916,,59.4,96.1,0.309,0.328,0.507,48.6,56.5,5.6,7.3,0.473,17.6,28.5,0.219
10,Appalachian State,31,15,16,0.484,-7.91,-5.77,,10,8,,10,4,,4,11,,2211,2221,,68.3,102,0.372,0.314,0.528,47.6,45.8,9.8,9.5,0.493,16.7,31.6,0.256
