,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Bradley,28,12,16,0.429,0.46,1.31,,6,12,,8,6,,2,9,,1948,1864,,66.4,103.9,0.24,0.369,0.534,52.3,51.9,7.7,11,0.509,16,29.3,0.174
31,Brigham Young NCAA,26,20,6,0.769,14.53,5.81,,10,3,,11,2,,7,2,,2047,1780,,70.5,110.1,0.274,0.396,0.582,54.8,57.4,6.6,7.2,0.557,16.4,28.7,0.2
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
33,Bryant,21,15,6,0.714,1,-5.75,,10,4,,10,1,,5,5,,1761,1571,,76.7,109.4,0.351,0.396,0.581,51.5,53.7,8.9,8.7,0.545,17.4,29.3,0.265
34,Bucknell,12,5,7,0.417,-3.7,-1.29,,4,6,,2,3,,3,4,,899,928,,73.1,102.5,0.363,0.391,0.561,47.6,46.3,8,8.1,0.52,16,19.8,0.277
35,Buffalo,24,16,8,0.667,7.36,-1.16,,12,5,,8,3,,5,3,,1961,1748,,74.4,108.7,0.298,0.311,0.537,55.3,52.3,10.6,9.6,0.513,15.4,37.3,0.201
36,Butler,25,10,15,0.4,5.73,10.89,,8,12,,8,4,,1,9,,1588,1717,,65.1,96.1,0.294,0.398,0.5,48.8,53.8,8.4,6,0.475,15.3,26,0.19
37,Cal Poly,24,4,20,0.167,-15.02,-2.97,,1,15,,3,8,,0,11,,1477,1700,,68.5,89.4,0.295,0.373,0.492,46.4,57.5,9,9.3,0.455,18.1,22.1,0.213
38,Cal State Bakersfield,26,15,11,0.577,-1.73,-3.98,,11,7,,9,2,,6,8,,1811,1665,,65.7,105.6,0.272,0.27,0.524,56.2,53.4,9.7,10.1,0.494,16.4,39.3,0.194
39,Cal State Fullerton,16,6,10,0.375,-7.88,-4.61,,5,9,,5,4,,1,5,,1232,1257,,72.7,105.1,0.343,0.359,0.557,47.6,50.7,9.1,5,0.521,15.6,25,0.253
40,Cal State Northridge,22,9,13,0.409,-10.23,-3.51,,5,9,,4,7,,4,4,,1586,1709,,70.9,101.1,0.308,0.38,0.523,47,52.3,8.9,6.1,0.488,14.7,25.3,0.224
41,California Baptist,23,13,10,0.565,-6.44,-6.23,,6,6,,11,4,,2,5,,1820,1674,,71.1,110.6,0.343,0.41,0.587,53.1,63.6,7.1,6.3,0.556,16.7,29,0.253
42,UC-Davis,18,10,8,0.556,-7.3,-5.71,,7,5,,4,3,,4,3,,1295,1289,,70.7,99.8,0.369,0.309,0.54,48.9,43.4,10.4,8,0.49,17.9,26.6,0.289
43,UC-Irvine,27,18,9,0.667,1.92,-2.4,,13,4,,10,1,,6,6,,1950,1712,,69.2,103.4,0.293,0.241,0.53,55.4,43.8,10.8,11.6,0.492,16,32.6,0.223
44,UC-Riverside,22,14,8,0.636,2.51,-4.03,,10,5,,5,4,,7,3,,1544,1400,,66.8,103.9,0.22,0.423,0.546,52.5,53.8,7.8,6.2,0.525,15.7,26.2,0.155
45,UC-San Diego,17,7,10,0.412,-8.54,-0.61,,4,10,,7,3,,0,7,,1214,1226,,70.2,101,0.213,0.514,0.567,43.8,65.8,9.7,5.4,0.556,17.4,17.3,0.136
46,UC-Santa Barbara NCAA,26,22,4,0.846,5.99,-4.35,,15,3,,11,0,,8,4,,1989,1633,,67.4,112.5,0.342,0.339,0.579,54.2,59,11.1,7.4,0.545,14.2,29.4,0.257
47,University of California,29,9,20,0.31,2.46,7.32,,3,17,,6,8,,1,11,,1897,2008,,66.3,98.7,0.346,0.405,0.53,49.4,52.3,6.6,6.2,0.497,17.1,24.6,0.242
48,Campbell,27,17,10,0.63,-6.27,-6.79,,11,6,,9,3,,6,7,,1917,1840,,65.8,106.4,0.339,0.369,0.586,46.2,55.4,9.2,6.7,0.565,16.7,20.7,0.23
49,Canisius,13,7,6,0.538,-7.86,-7.09,,7,5,,3,1,,4,4,,915,925,,71.5,98.4,0.316,0.416,0.506,48.6,51.4,7.8,8.7,0.47,14.7,26.6,0.224
50,Central Arkansas,24,5,19,0.208,-15.03,-2.16,,4,12,,4,5,,1,14,,1701,1933,,74,95.8,0.321,0.337,0.532,51.1,53.1,6.8,6.8,0.498,20.8,28.9,0.23
51,Central Connecticut State,21,5,16,0.238,-13.07,-4.21,,5,13,,3,6,,2,9,,1439,1625,,72,95.2,0.284,0.376,0.515,44.7,51.7,9.6,7.1,0.485,17.6,23.4,0.199
52,Central Florida,23,11,12,0.478,6.03,8.25,,8,10,,6,3,,4,8,,1546,1597,,68,98.3,0.307,0.402,0.535,48.9,52.6,10,9.8,0.501,19,28.2,0.223
53,Central Michigan,23,7,16,0.304,-11.71,-3.56,,3,13,,5,7,,2,9,,1766,1835,,74.9,102.5,0.369,0.326,0.53,48.3,39,10.9,7.6,0.499,15.6,27.7,0.248
54,Charleston Southern,21,3,18,0.143,-16.16,-5.66,,2,15,,1,9,,2,8,,1375,1550,,70.2,92.8,0.302,0.428,0.509,49.5,45.2,8.7,10.2,0.474,20.4,28.2,0.216
55,Charlotte,25,9,16,0.36,-5.34,-2.09,,5,11,,6,7,,3,8,,1587,1668,,64.6,95.9,0.384,0.35,0.532,49.4,51.7,8.2,8.6,0.489,18.3,22.2,0.281
56,Chattanooga,26,18,8,0.692,-1.11,-2.48,,9,7,,9,3,,9,4,,1888,1801,,68.6,104.8,0.282,0.399,0.547,49.3,47.8,9.9,4.9,0.51,14.3,23.9,0.221
57,Chicago State,9,0,9,0,-31.33,1.9,,0,0,,0,0,,0,7,,499,798,,71.2,77.8,0.254,0.408,0.448,38,49.4,7.6,3.7,0.413,20.1,16.6,0.177
58,Cincinnati,23,12,11,0.522,4.22,7.44,,8,6,,5,5,,5,5,,1585,1659,,71.3,96.6,0.33,0.391,0.512,51.1,60.8,9.5,10.3,0.484,17.8,29.1,0.217
59,Citadel,25,13,12,0.52,-5.58,-0.96,,5,11,,11,3,,1,8,,2019,1959,,74.9,107.9,0.316,0.46,0.56,50.3,54.9,7.3,10.2,0.534,14.4,25.4,0.222
60,Clemson NCAA,23,16,7,0.696,13.5,10.2,,10,6,,11,1,,2,5,,1502,1426,,64.9,100.1,0.236,0.439,0.534,50.2,56.4,9.3,9.2,0.504,17.2,26.6,0.18
61,Cleveland State NCAA,26,19,7,0.731,-4.17,-5.05,,16,4,,9,2,,8,5,,1858,1835,,67.6,103.2,0.32,0.343,0.533,49.8,53.1,10.1,7.7,0.507,16.1,30.9,0.214
62,Coastal Carolina,23,16,7,0.696,-2.15,-8.15,,9,5,,12,1,,3,5,,1836,1535,,71.8,110.5,0.319,0.394,0.562,56.7,54.6,11.7,12.7,0.531,17.4,37.8,0.233
63,Colgate NCAA,15,14,1,0.933,19.16,1.43,,11,1,,8,1,,6,0,,1295,1029,,72.2,118.6,0.311,0.357,0.596,53.3,55.5,9.9,8.7,0.571,12.2,28.1,0.227
64,College of Charleston,19,9,10,0.474,-4.1,-2.28,,6,4,,8,6,,1,3,,1341,1329,,64.7,106.3,0.292,0.396,0.552,49.4,41.8,7.9,8.4,0.525,14,24.7,0.207
65,Colorado State,24,18,6,0.75,8.56,-0.49,,14,4,,10,1,,6,4,,1791,1571,,69.4,107.5,0.346,0.436,0.59,51.6,56.6,7.9,7.9,0.55,17.7,24.6,0.273
66,Colorado NCAA,30,22,8,0.733,16.74,6.98,,14,6,,11,1,,6,6,,2191,1898,,66.3,110.2,0.299,0.359,0.563,53.2,51.3,8,7.8,0.52,14.6,30.8,0.246
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
68,Connecticut NCAA,22,15,7,0.682,17.12,9.21,,11,6,,7,3,,6,3,,1596,1422,,66.6,108.4,0.296,0.333,0.529,53.4,49.4,9.2,14.4,0.495,14.6,36.6,0.216
69,Coppin State,22,9,13,0.409,-11.28,-4.97,,8,4,,5,3,,4,9,,1602,1741,,79.3,91.8,0.438,0.494,0.515,43.7,54.1,10.8,8,0.486,18.3,18.5,0.273
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
71,Creighton NCAA,28,20,8,0.714,17.59,8.91,,14,6,,11,3,,7,4,,2155,1912,,69.5,109.8,0.269,0.443,0.57,49.7,55.8,10.1,9.5,0.557,14.1,24.8,0.173
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,0.619,10.67,4.07,,7,4,,7,4,,4,2,,1518,1336,,63.7,112.8,0.262,0.491,0.581,53.8,57.8,8,8.2,0.563,14.7,28.4,0.18
74,Dayton,23,14,9,0.609,7.46,4.94,,9,7,,8,3,,4,6,,1614,1556,,66.4,102.9,0.345,0.416,0.583,50.5,55.7,6.6,5.3,0.555,19.5,23.7,0.248
75,Delaware State,19,3,16,0.158,-23,-5.23,,1,11,,3,6,,0,10,,1345,1629,,77.1,91.2,0.302,0.416,0.497,46.5,46.2,8.3,9.4,0.46,19.2,26.9,0.217
76,Delaware,15,7,8,0.467,-4.23,-4.09,,5,4,,6,3,,1,4,,1013,1012,,67.8,99.6,0.375,0.405,0.542,51.6,54.2,6.8,9.6,0.505,18.7,26.9,0.267
77,Denver,21,2,19,0.095,-17.24,-6.64,,1,13,,2,10,,0,9,,1466,1662,,71.4,96.7,0.34,0.344,0.539,46.8,48.4,7.9,7.5,0.503,18.6,22.1,0.245
78,DePaul,19,5,14,0.263,3.62,9.78,,2,13,,2,8,,2,5,,1250,1367,,70.6,91.9,0.237,0.283,0.487,50.1,45.1,9.6,11,0.461,18.9,31.8,0.16
79,Detroit Mercy,22,12,10,0.545,-2.84,-5.39,,10,6,,7,5,,5,5,,1683,1627,,68.2,111.5,0.253,0.446,0.582,49.1,52.7,9.9,7.2,0.551,14.9,26.9,0.203
80,Dixie State,21,8,13,0.381,-14.99,-4.42,,4,10,,5,7,,3,6,,1461,1603,,74,94,0.348,0.341,0.511,47,62.5,9.2,5.3,0.471,18.3,25.3,0.249
81,Drake NCAA,29,25,4,0.862,9.53,-1.65,,15,3,,14,1,,9,2,,2245,1875,,66.8,114.9,0.244,0.314,0.573,53.8,46,10.6,8.4,0.552,13.2,31.6,0.174
82,Drexel NCAA,19,12,7,0.632,0.26,-4.37,,4,5,,3,2,,4,5,,1358,1270,,65.9,108.4,0.285,0.357,0.576,53.7,58.2,7.1,6.5,0.543,17.2,29.4,0.222
83,Duke,24,13,11,0.542,14.04,9.33,,9,9,,8,5,,3,6,,1824,1711,,69.1,108.8,0.234,0.386,0.555,51.3,55.9,11.8,11.8,0.536,15.7,31.9,0.162
84,Duquesne,18,9,9,0.5,3.47,3.64,,7,7,,5,2,,2,5,,1205,1208,,68.4,98,0.316,0.37,0.504,50.2,55,9.8,13,0.476,16.7,31,0.206
85,East Carolina,19,8,11,0.421,1.13,3.97,,2,10,,7,6,,1,4,,1269,1291,,68.9,96.3,0.331,0.328,0.501,49,67.5,8.9,9.9,0.46,15.9,27.2,0.239
86,East Tennessee State,25,13,12,0.52,2.07,0.73,,8,7,,8,4,,3,5,,1736,1654,,67.6,102.2,0.299,0.406,0.537,52.2,47.6,10.8,8.4,0.509,17.3,29.7,0.208
87,Eastern Illinois,27,9,18,0.333,-12.26,-6.75,,6,14,,5,7,,4,11,,1874,2023,,70.2,97.6,0.257,0.354,0.515,48.9,50.9,10,8.8,0.493,17.4,28.7,0.169
88,Eastern Kentucky,29,22,7,0.759,-2.22,-7.77,,15,5,,10,2,,9,4,,2372,2137,,76.1,105.6,0.255,0.4,0.544,47.5,52.9,13.3,9.2,0.519,14.6,26.7,0.18
89,Eastern Michigan,18,6,12,0.333,-13.5,-0.5,,3,11,,5,4,,1,8,,1267,1362,,71.4,98.6,0.303,0.382,0.514,46.7,44.2,12.5,7,0.475,15.2,25.1,0.226
90,Eastern Washington NCAA,23,16,7,0.696,2.42,-5.49,,12,3,,7,2,,6,5,,1795,1597,,71.7,108.9,0.302,0.401,0.574,50.7,54.4,6.9,7.3,0.538,14.4,23.4,0.238
91,Elon,19,10,9,0.526,-4.47,-3.58,,4,7,,4,2,,3,6,,1249,1235,,66.8,98.4,0.245,0.436,0.516,50.7,45.9,8.5,6.7,0.485,15.3,25,0.182
92,Evansville,25,9,16,0.36,-4.71,0.13,,7,11,,8,4,,1,10,,1619,1740,,62.4,102.3,0.254,0.49,0.556,45.6,51,7.7,6.3,0.532,15.8,19,0.182
93,Fairfield,27,10,17,0.37,-10.71,-5.82,,7,11,,4,8,,3,8,,1668,1800,,65.2,93.8,0.341,0.355,0.493,50.6,46.7,7,6.1,0.454,17.1,28.1,0.237
94,Fairleigh Dickinson,24,9,15,0.375,-8.39,-4.68,,8,10,,4,6,,5,9,,1801,1890,,71.9,103.2,0.311,0.361,0.548,47.8,44.5,10.4,10.4,0.518,17.1,28.7,0.221
95,Florida A&M,20,8,12,0.4,-11.95,-9.15,,7,5,,4,1,,4,10,,1314,1370,,70.9,92.7,0.298,0.269,0.511,49.9,53,9.2,6.8,0.486,20.8,30.2,0.194
96,Florida Atlantic,23,13,10,0.565,-1.85,-4.74,,7,5,,7,1,,4,7,,1796,1537,,70.7,109.9,0.289,0.417,0.56,55.4,51.4,10.7,7.7,0.542,16.6,34,0.191
97,Florida Gulf Coast,18,10,8,0.556,-9.45,-6.95,,4,4,,7,4,,2,2,,1292,1242,,72.5,99,0.241,0.443,0.515,50.9,50.9,10.3,11.2,0.494,17.4,29.9,0.16
98,Florida International,26,9,17,0.346,-10.96,-3.01,,2,15,,7,8,,2,9,,1914,1985,,72.8,99.7,0.244,0.509,0.535,46,56.2,11.4,10,0.515,17.5,26.2,0.163
99,Florida State NCAA,22,16,6,0.727,17.98,9.39,,11,4,,12,1,,3,4,,1736,1547,,70.3,110.9,0.327,0.355,0.575,53.2,51.9,10.4,14.6,0.544,17.3,35.5,0.241
100,Florida NCAA,23,14,9,0.609,14.91,10.78,,9,7,,6,3,,5,5,,1701,1606,,70.8,104.5,0.338,0.338,0.562,50.8,45,10.3,14.4,0.525,18.2,30.7,0.256
101,Fordham,14,2,12,0.143,-10.44,4.34,,2,11,,2,5,,0,6,,725,932,,64.2,80.6,0.275,0.411,0.448,43.5,59.5,9.7,7,0.414,18.8,19.2,0.184
102,Fresno State,24,12,12,0.5,-3.52,0.11,,9,11,,7,5,,4,6,,1591,1618,,66.9,98.6,0.376,0.387,0.524,52.4,45.1,9.8,8.7,0.492,18.5,31,0.251
103,Furman,25,16,9,0.64,6.49,-1.19,,10,5,,11,1,,5,7,,1990,1723,,70.9,111.8,0.266,0.472,0.589,51.6,57,11.5,9.5,0.568,15.6,27.2,0.192
104,Gardner-Webb,26,11,15,0.423,-3.28,-5.55,,10,10,,7,4,,4,11,,1837,1778,,67,105.5,0.3,0.439,0.549,49.5,52.1,8.8,14.7,0.524,15.4,26.7,0.207
105,George Mason,22,13,9,0.591,3.01,1.58,,8,6,,7,3,,3,4,,1569,1538,,69.2,100.2,0.293,0.362,0.511,51.9,49.7,10.2,11.6,0.488,15.5,30.2,0.188
106,George Washington,17,5,12,0.294,-4.56,-0.38,,3,5,,3,6,,1,5,,1158,1229,,68.9,98.1,0.361,0.339,0.533,49.3,47.2,9.1,7,0.498,17.6,24.5,0.252
107,Georgetown NCAA,25,13,12,0.52,11.73,11.05,,7,9,,7,6,,2,6,,1784,1767,,70.2,101.2,0.303,0.388,0.533,53.4,51.7,8.4,10.4,0.496,18.6,32.4,0.228
108,Georgia Southern,26,13,13,0.5,-9.73,-5.77,,7,9,,9,4,,4,8,,1860,1762,,68.4,101.7,0.301,0.396,0.53,51.9,46.9,11.5,11.3,0.51,17.6,32.5,0.191
109,Georgia State,22,16,6,0.727,-1.21,-4.11,,8,4,,9,1,,5,4,,1767,1599,,71.2,110.4,0.307,0.359,0.556,50.4,56.9,9.8,12.2,0.532,13.8,31.3,0.21
110,Georgia Tech NCAA,25,17,8,0.68,14.07,8.55,,11,6,,11,3,,4,5,,1888,1750,,68.2,108,0.29,0.369,0.566,47.2,57.7,13.2,9.3,0.538,14.3,24.7,0.211
111,Georgia,26,14,12,0.538,7.04,8.44,,7,11,,12,5,,2,6,,2014,2027,,75.8,101.8,0.345,0.318,0.54,50.8,53,11.1,6.3,0.509,18.9,33.1,0.238
112,Gonzaga NCAA,26,26,0,1,26.38,3.38,,15,0,,12,0,,7,0,,2395,1797,,75.3,122.4,0.366,0.323,0.633,55.3,53.6,11,7.1,0.61,14.3,30.4,0.266
113,Grambling,24,12,12,0.5,-14.78,-13,,9,6,,6,4,,5,7,,1617,1649,,72.1,93,0.421,0.287,0.513,48.5,60,11.2,8.4,0.476,19.1,25.4,0.28
114,Grand Canyon NCAA,23,17,6,0.739,3.81,-5.79,,9,3,,10,3,,5,1,,1738,1405,,68.3,110.6,0.322,0.358,0.574,57,57.4,7.1,9,0.551,16.6,32.2,0.221
115,Green Bay,25,8,17,0.32,-9.38,-4.46,,8,12,,6,6,,2,11,,1790,1913,,67.7,102.7,0.273,0.339,0.526,47.6,53.7,7.9,9.3,0.492,13.6,25.7,0.204
116,Hampton,25,11,14,0.44,-13.02,-8.62,,9,9,,5,7,,6,7,,1721,1831,,70.1,98.2,0.286,0.388,0.527,46,47.2,8.7,16.1,0.495,16.3,22.1,0.207
117,Hartford NCAA,23,15,8,0.652,-2.76,-5.36,,8,6,,10,1,,5,6,,1515,1455,,66.5,99,0.286,0.425,0.533,48.9,46.6,10.5,6.1,0.504,17,24.8,0.204
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
119,Hawaii,21,11,10,0.524,-4.52,-4.26,,9,9,,7,5,,4,4,,1503,1452,,68.4,102.8,0.311,0.377,0.542,52.7,46.1,8.1,3.8,0.51,17.3,30.3,0.224
120,High Point,24,9,15,0.375,-10.16,-6.95,,6,11,,5,5,,4,10,,1600,1677,,67.4,98.3,0.383,0.292,0.499,51,51.8,9.7,12.5,0.458,15.9,32,0.263
121,Hofstra,23,13,10,0.565,-1.8,-1.98,,8,6,,7,3,,5,6,,1683,1679,,68.9,105.6,0.332,0.393,0.542,50,49.2,9.5,7.9,0.508,15.2,29.3,0.238
122,Holy Cross,16,5,11,0.313,-0.17,5.27,,5,11,,2,7,,3,4,,1130,1217,,69.9,100.3,0.261,0.33,0.529,47.1,45.6,9.8,10.1,0.503,16.2,26.5,0.182
123,Houston Baptist,25,6,19,0.24,-16.93,-5.93,,4,11,,4,6,,1,12,,1776,2007,,74.2,95.2,0.279,0.396,0.528,47.1,55.7,9.4,9.5,0.496,19.9,25.4,0.205
124,Houston NCAA,27,24,3,0.889,22.16,4.16,,14,3,,15,0,,5,3,,2096,1562,,66.6,116.5,0.297,0.42,0.552,56.2,51.6,12.3,14.6,0.52,13.4,39.6,0.22
