,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Brigham Young NCAA,37,32,5,0.865,18.65,5.76,,14,2,,13,1,,10,1,,3012,2512,,71.1,113.4,0.382,0.382,0.562,51.9,52.8,11.2,9.9,0.518,13.1,31.2,0.292
31,Brown,28,11,17,0.393,-7.27,-4.12,,4,10,,8,5,,3,12,,2002,2054,,69.5,102.5,0.356,0.389,0.546,48.5,58,7.5,6.6,0.506,15.8,23.3,0.266
32,Bryant,30,9,21,0.3,-12.98,-3.12,,7,11,,5,8,,3,12,,2001,2258,,66.8,98.7,0.319,0.4,0.516,47,56.8,8.2,7.6,0.49,17.4,29.2,0.208
33,Bucknell NCAA,34,25,9,0.735,2.39,-3.87,,13,1,,14,1,,10,6,,2387,2174,,66.1,105.9,0.341,0.315,0.554,49.7,59.4,7.1,8.9,0.509,15,25.2,0.269
34,Buffalo,34,20,14,0.588,2.93,-2.22,,8,8,,13,3,,7,10,,2399,2197,,67,104.6,0.359,0.294,0.55,52.5,54.4,11.7,14.3,0.527,19.4,37.1,0.233
35,Butler NCAA,38,28,10,0.737,11.53,5.02,,13,5,,12,2,,7,6,,2707,2437,,64.5,109,0.377,0.387,0.541,52.3,49.2,9.1,4.7,0.501,14.3,33.2,0.273
36,Cal Poly,30,15,15,0.5,-1.84,-2.39,,10,6,,7,5,,8,9,,1779,1766,,61.4,96.1,0.372,0.393,0.487,50,55.7,9.8,6.4,0.45,16.3,32.7,0.247
37,Cal State Bakersfield,28,9,19,0.321,-11.44,-2.16,,,,,7,8,,2,11,,1907,2167,,69.6,96.9,0.36,0.329,0.49,46.5,50.1,10.4,7.7,0.45,16.4,31.8,0.248
38,Cal State Fullerton,31,11,20,0.355,-7.68,-2.81,,7,9,,7,5,,4,12,,2208,2326,,68.4,103.8,0.42,0.322,0.549,49.7,52.3,7.6,4.3,0.508,17.9,31.4,0.302
39,Cal State Northridge,32,14,18,0.438,-5.35,-1.55,,9,7,,7,5,,5,10,,2232,2280,,70,99.6,0.475,0.314,0.528,50.4,54.1,9.3,10.6,0.487,19.2,33,0.32
40,UC-Davis,30,10,20,0.333,-5.69,-1.9,,4,12,,7,7,,3,11,,2136,2194,,68,102.3,0.345,0.393,0.567,45.9,60.5,9.4,6.3,0.534,18.3,23.7,0.251
41,UC-Irvine,32,13,19,0.406,-3.78,-2.36,,6,10,,9,6,,4,12,,2411,2419,,72,102.2,0.414,0.357,0.532,47.8,48.9,9,4.9,0.485,15.4,25.9,0.304
42,UC-Riverside,31,12,19,0.387,-8.26,-1.4,,6,10,,7,5,,4,11,,2044,2164,,66.6,97.8,0.328,0.264,0.503,50.3,50.2,8.8,12,0.47,17.5,33.2,0.224
43,UC-Santa Barbara NCAA,32,18,14,0.563,1.22,0.12,,8,8,,9,4,,5,8,,2170,2105,,65.2,102.9,0.373,0.373,0.563,49.6,61.6,11,12.2,0.523,19.1,28.4,0.281
44,University of California,33,18,15,0.545,9.45,9.17,,10,8,,12,6,,5,6,,2391,2382,,68.5,103.9,0.471,0.27,0.549,51.6,60.1,8.2,7,0.508,17.1,30.4,0.327
