,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
130,Iowa State,32,16,16,0.5,8.86,4.55,,3,13,,13,6,,2,9,,2395,2257,,70.7,104.6,0.264,0.375,0.534,48.5,55.2,9.4,9,0.506,15.2,29.4,0.191
131,Iowa,31,11,20,0.355,7.95,8.79,,4,14,,8,8,,2,9,,2084,2110,,67.1,99.5,0.345,0.267,0.514,50.9,55.2,9.9,8,0.481,18.1,34.5,0.233
132,Purdue-Fort Wayne,30,18,12,0.6,-2.17,-5.17,,11,7,,11,3,,7,8,,2230,2103,,67.6,109,0.354,0.372,0.57,49.8,56.9,7.4,8.4,0.529,15.7,28.8,0.273
133,IUPUI,33,19,14,0.576,0.39,-0.84,,12,6,,9,2,,7,9,,2364,2282,,63.2,112.5,0.321,0.314,0.568,50.5,42.4,9.2,7.3,0.529,15.1,33.8,0.251
134,Jackson State,32,17,15,0.531,-10.43,-10.86,,12,6,,9,3,,7,11,,2096,2009,,66.3,97.7,0.425,0.332,0.507,51.9,59.1,11.6,10.2,0.474,18.9,35.2,0.271
135,Jacksonville State,30,5,25,0.167,-11.16,-5.41,,3,15,,2,9,,2,15,,1828,1974,,62.8,95.9,0.341,0.306,0.509,47.6,56.1,10,10.3,0.481,19.4,32.4,0.221
136,Jacksonville,32,20,12,0.625,-1.42,-3.68,,13,7,,11,2,,9,9,,2176,2094,,68.2,97.8,0.384,0.251,0.499,52,50.1,12.3,10.8,0.461,18.2,36.8,0.257
137,James Madison,33,21,12,0.636,2.94,-0.03,,10,8,,11,4,,10,7,,2355,2257,,66.9,106.3,0.385,0.291,0.549,52.2,54.8,8,10.3,0.513,16.4,31.7,0.274
138,Kansas State NCAA,34,23,11,0.676,14.59,8.41,,10,6,,16,1,,5,5,,2477,2249,,68.8,105.9,0.427,0.325,0.531,54.7,55.8,8.9,12.1,0.499,17.6,40.9,0.28
139,Kansas NCAA,38,35,3,0.921,24.1,7.62,,14,2,,16,1,,9,1,,3084,2458,,69.7,116,0.393,0.324,0.593,55.7,60.5,11.1,10.7,0.57,16.3,36.7,0.267
140,Kennesaw State,31,8,23,0.258,-14.06,-3.29,,6,14,,6,8,,2,14,,2017,2320,,66,96.6,0.357,0.335,0.498,47.8,48.2,8.2,9.2,0.467,18,34.2,0.232
141,Kent State,37,25,12,0.676,3.65,0.04,,12,4,,14,2,,7,9,,2626,2473,,67.2,104.3,0.346,0.277,0.518,50.3,53.4,11.4,10.3,0.487,15.8,36.1,0.231
142,Kentucky NCAA,38,29,9,0.763,20.3,8.91,,10,6,,15,0,,3,7,,2845,2412,,66.2,112.8,0.361,0.324,0.556,52.5,48.1,8.4,15.5,0.523,13.7,34.3,0.257
143,La Salle,33,15,18,0.455,-0.08,1.7,,6,10,,9,10,,5,5,,2536,2595,,71.8,103.9,0.329,0.276,0.53,51.2,53.7,10,9.1,0.496,17.7,37.4,0.233
144,Lafayette,32,13,19,0.406,-7.26,-4.19,,6,8,,8,6,,5,13,,2237,2310,,66.7,102,0.36,0.401,0.544,47.3,63.1,8.9,6.8,0.499,17.3,27,0.274
145,Lamar,30,13,17,0.433,-6.69,-5.96,,7,9,,8,5,,4,11,,2463,2279,,77.4,106.1,0.399,0.331,0.528,52,51.7,10.6,8.9,0.491,16.4,37.2,0.274
146,Lehigh,31,16,15,0.516,-4.07,-5.69,,6,8,,9,5,,7,10,,2282,2232,,71.1,102.2,0.464,0.295,0.525,49.8,50.1,10.6,9.6,0.465,15.6,30.9,0.35
147,Liberty,32,19,13,0.594,-5.62,-4.86,,13,5,,12,4,,5,9,,2165,2100,,66.9,99.5,0.352,0.282,0.508,54.1,51.6,9.8,9.3,0.472,18.6,38.9,0.241
148,Lipscomb,30,17,13,0.567,-0.96,-2.65,,12,8,,10,2,,7,10,,2287,2213,,71.8,104.8,0.406,0.341,0.548,51.5,58.1,11.2,5.5,0.51,18.2,34,0.287
149,Cal State Long Beach,34,22,12,0.647,3.78,1.69,,14,2,,11,2,,7,7,,2489,2398,,70.2,103.8,0.421,0.329,0.537,52.1,52.6,8.5,5.3,0.503,17.4,33.3,0.283
150,Long Island University NCAA,33,27,6,0.818,2.23,-5.77,,16,2,,14,2,,13,3,,2730,2466,,75.3,108.9,0.497,0.316,0.55,52.8,54.2,9.8,7.6,0.519,16.9,37.4,0.321
151,Longwood,31,12,19,0.387,-16.02,-3.62,,,,,10,4,,1,14,,2364,2552,,73.4,103.9,0.33,0.355,0.548,45.7,60.1,8,4.8,0.518,16.5,28,0.23
152,Louisiana,29,14,15,0.483,-5.45,-4.19,,11,5,,10,4,,4,10,,2055,2067,,69.5,100.7,0.436,0.265,0.519,52.5,41.3,8.1,11.4,0.482,18.4,36.4,0.289
153,Louisiana-Monroe,31,7,24,0.226,-14.27,-3.96,,2,14,,4,9,,2,13,,1859,2126,,63.8,93.9,0.349,0.306,0.497,49.2,46.5,9.8,5.1,0.466,19.1,32.2,0.226
154,Louisiana State,32,11,21,0.344,-2.09,2.26,,3,13,,8,10,,3,8,,1991,2130,,65.9,93.7,0.376,0.324,0.488,48.5,52.6,9.6,8.6,0.45,18.4,32.1,0.25
155,Louisiana Tech,32,12,20,0.375,-5.99,-0.99,,2,14,,8,6,,2,14,,2051,2174,,68.6,93.4,0.373,0.34,0.506,51.6,45.9,8.2,7,0.475,20.9,31.7,0.242
156,Louisville NCAA,35,25,10,0.714,18.6,8.2,,12,6,,19,2,,4,6,,2623,2259,,67.8,108.6,0.299,0.407,0.548,50.1,64.1,13.5,13.5,0.526,16.1,34.8,0.198
157,Loyola (IL),31,16,15,0.516,1.73,-1.1,,7,11,,9,8,,7,7,,2153,2065,,65.6,105.4,0.369,0.319,0.529,51.5,51.7,9.1,9.6,0.485,16.3,36,0.272
158,Loyola Marymount,32,11,21,0.344,-2.79,0.27,,2,12,,7,7,,2,12,,2265,2312,,68.8,100.9,0.387,0.248,0.512,51.8,54,9.6,10,0.472,17.1,35.6,0.269
159,Loyola (MD),30,15,15,0.5,-3.28,-3.68,,10,8,,8,6,,7,8,,2023,2011,,66.1,101.6,0.372,0.316,0.511,52.1,50.9,9.8,10.7,0.47,16.7,36.7,0.262
160,Maine,30,15,15,0.5,-4.87,-5.84,,9,7,,7,7,,8,7,,2089,2010,,64.7,106.3,0.405,0.342,0.556,50.4,54.5,8.6,9.5,0.521,17.1,31.1,0.283
161,Manhattan,31,6,25,0.194,-11.66,-2.01,,3,15,,3,10,,3,11,,1862,2161,,63.8,93.4,0.337,0.225,0.478,48.2,44.3,10,11.4,0.437,17.7,33.7,0.235
162,Marist,33,6,27,0.182,-13.7,-1.46,,3,15,,4,10,,1,15,,1979,2383,,66.5,90.2,0.363,0.384,0.487,47.1,47.9,7.6,7,0.441,19.1,27.8,0.258
163,Marquette NCAA,37,22,15,0.595,14.89,8.51,,9,9,,14,4,,4,7,,2782,2546,,68,110.2,0.443,0.261,0.549,51.7,59,10.5,9.5,0.51,15.2,36.1,0.308
164,Marshall,34,22,12,0.647,6.32,1.94,,9,7,,14,4,,6,7,,2499,2291,,68,107.7,0.471,0.309,0.541,53.3,51.4,7.2,9.2,0.502,16.4,37.3,0.32
165,Maryland-Baltimore County,30,5,25,0.167,-18.47,-4.27,,4,12,,3,10,,2,14,,1928,2354,,67.1,94.2,0.279,0.317,0.487,46.4,49.4,8.7,4.9,0.453,16.6,29.5,0.198
166,Maryland-Eastern Shore,31,9,22,0.29,-19.35,-7.42,,5,11,,7,5,,1,16,,2096,2408,,70.4,94.5,0.353,0.306,0.484,47,50.8,9.2,4.3,0.45,17.2,32.6,0.23
167,Maryland,33,19,14,0.576,15,5.76,,7,9,,14,4,,4,6,,2536,2231,,71.8,107,0.389,0.219,0.541,52.6,59.8,9.4,11.2,0.509,16.1,35.8,0.263
168,Massachusetts,30,15,15,0.5,-0.76,1.93,,7,9,,8,8,,4,6,,1988,2039,,68.4,96.5,0.37,0.326,0.485,50.6,48.3,9.3,11.1,0.448,16.7,35.1,0.245
169,McNeese State,33,21,12,0.636,-4.7,-4.39,,11,5,,14,2,,4,9,,2446,2354,,68.2,107.5,0.393,0.336,0.541,49.1,44.5,9.4,8.7,0.496,15.1,33.1,0.293
170,Memphis NCAA,35,25,10,0.714,6.91,3.14,,10,6,,17,2,,3,6,,2524,2392,,69.1,103.2,0.396,0.324,0.538,50.6,57.5,12.1,13.4,0.504,18.6,35.3,0.269
171,Mercer,33,15,18,0.455,-4.08,-2.17,,11,9,,9,6,,4,10,,2220,2258,,67.7,98.2,0.437,0.364,0.521,48.3,53.5,10.7,7.9,0.478,18,30.3,0.301
172,Miami (FL),36,21,15,0.583,10.47,6.42,,6,10,,13,4,,4,9,,2579,2433,,65.8,108,0.389,0.384,0.557,52.8,47.7,8.5,9.5,0.518,17.7,35.8,0.282
173,Miami (OH),33,16,17,0.485,-1.58,3.04,,11,5,,12,4,,4,12,,2190,2319,,63.9,101.1,0.363,0.415,0.542,49,50.1,7.5,7.2,0.504,18.7,28.8,0.264
174,Michigan State NCAA,34,19,15,0.559,13.7,11.67,,9,9,,12,3,,3,8,,2338,2263,,66,103.1,0.365,0.327,0.526,52.9,62.3,9.7,13.1,0.489,17,34.5,0.256
175,Michigan NCAA,35,21,14,0.6,14.21,10.68,,9,9,,14,5,,5,5,,2328,2187,,62.1,106.3,0.266,0.426,0.547,48.6,56.7,7.7,6,0.523,14.2,25.5,0.186
176,Middle Tennessee,32,16,16,0.5,-2.74,-4.45,,10,6,,10,4,,4,10,,2218,2121,,67.3,101,0.479,0.286,0.526,51.7,46.2,12.6,11.1,0.475,18.7,35,0.34
177,Milwaukee,33,19,14,0.576,1.48,2.51,,13,5,,10,5,,8,8,,2266,2300,,66.3,102.4,0.441,0.406,0.534,50.4,55.9,7.4,5.8,0.502,17.8,32,0.289
178,Minnesota,31,17,14,0.548,11.75,9.79,,6,12,,11,6,,3,7,,2137,2076,,65.2,105.7,0.437,0.286,0.533,53.6,64.7,10.4,16.7,0.499,17.1,37.6,0.289
179,Mississippi State,31,17,14,0.548,3.38,3.77,,9,7,,12,5,,4,5,,2165,2177,,67.7,102.8,0.359,0.4,0.544,49.5,53.2,7.7,10.5,0.507,17.2,28.9,0.259
180,Mississippi Valley State,32,13,19,0.406,-13.95,-7.48,,12,6,,7,2,,5,14,,2186,2393,,73.5,92.3,0.388,0.34,0.498,50.1,52.3,9.6,7.2,0.46,20.2,31.8,0.258
181,Mississippi,34,20,14,0.588,8.71,3.92,,7,9,,13,4,,4,8,,2513,2350,,67.5,109.1,0.348,0.377,0.549,51.8,47.8,7.8,14,0.508,16,35.3,0.263
182,Missouri-Kansas City,30,16,14,0.533,-8.91,-4.46,,9,9,,11,4,,5,9,,2100,2217,,66.5,102.7,0.416,0.41,0.538,48.7,45.2,9.1,6.8,0.507,17.7,31.7,0.275
183,Missouri State,35,26,9,0.743,8.07,1.35,,15,3,,16,1,,7,7,,2444,2209,,62.3,112.1,0.382,0.347,0.557,52.7,55.1,7.8,8.1,0.518,14.2,33.2,0.279
184,Missouri NCAA,34,23,11,0.676,14.77,6.5,,8,8,,17,1,,2,7,,2748,2435,,72.5,110.3,0.339,0.312,0.552,48.6,56.8,13.2,12.5,0.515,14.8,33.9,0.25
185,Monmouth,30,9,21,0.3,-9.67,-4.4,,5,13,,5,10,,2,11,,1818,1976,,63.9,93.3,0.379,0.353,0.497,49,59.5,10.4,6.6,0.465,19.3,31.3,0.242
186,Montana State,31,13,18,0.419,-7.01,-3.22,,7,9,,9,4,,2,14,,2079,2130,,65.6,101.8,0.368,0.408,0.511,48.5,52.2,8.8,6.5,0.482,15.5,32,0.238
187,Montana,32,21,11,0.656,2.17,-2.47,,12,4,,13,2,,7,9,,2151,1950,,64.2,104,0.425,0.286,0.54,51.2,55,10.6,12.7,0.507,16.8,31.6,0.284
188,Morehead State NCAA,35,25,10,0.714,2.81,-3.13,,13,5,,14,1,,8,8,,2412,2162,,64.3,106.2,0.401,0.321,0.541,56.9,49.8,13.2,10.2,0.509,19.1,41.6,0.27
189,Morgan State,31,17,14,0.548,-8.04,-7.72,,10,6,,10,2,,4,10,,2061,2071,,68.2,97.5,0.454,0.247,0.502,52.6,52.5,9.1,10.1,0.456,18.6,36.7,0.309
190,Mount St. Mary's,32,11,21,0.344,-9.22,-3.47,,9,9,,8,5,,3,16,,1940,2124,,65.3,92.1,0.368,0.281,0.502,47.1,54.9,8.9,9,0.464,19.8,29.1,0.25
191,Murray State,32,23,9,0.719,0.45,-4.85,,14,4,,13,2,,9,4,,2194,1979,,64.4,106.5,0.47,0.315,0.558,51.9,58.8,11.7,8.2,0.519,18.6,35,0.329
192,Navy,31,11,20,0.355,-10.66,-5.56,,6,8,,6,7,,4,11,,2113,2254,,73.2,92.1,0.391,0.454,0.505,43.6,55.8,12.4,7.7,0.46,18.5,22.8,0.277
193,Nebraska,32,19,13,0.594,10.54,4.67,,7,9,,17,2,,1,8,,2124,1936,,64.7,102.1,0.352,0.311,0.543,52.7,53.7,10,11.4,0.51,18,30,0.247
194,Nevada-Las Vegas NCAA,33,24,9,0.727,14.67,6,,11,5,,11,4,,8,3,,2363,2077,,67.3,106,0.391,0.304,0.543,51,60.5,12,10.7,0.509,16,33.1,0.27
195,Nevada,32,13,19,0.406,0.34,1.88,,8,8,,9,5,,3,10,,2245,2279,,68.6,101.4,0.433,0.34,0.523,51,47.3,7,9.2,0.481,17.6,33.9,0.297
196,New Hampshire,30,12,18,0.4,-10.07,-6.32,,6,10,,7,5,,4,12,,1749,1826,,62.2,92.5,0.341,0.404,0.462,49.2,47.9,7.1,8.5,0.433,16,31.8,0.209
197,New Mexico State,33,16,17,0.485,2.11,2.66,,9,7,,12,5,,3,9,,2364,2316,,69.1,102.1,0.494,0.311,0.538,50.4,51.7,9.3,10,0.497,18.1,32.9,0.334
198,New Mexico,35,22,13,0.629,11.72,4.9,,8,8,,14,3,,6,8,,2562,2308,,66.7,108.1,0.426,0.341,0.555,54.4,61,8.9,9.3,0.516,16.9,35.4,0.303
199,Niagara,32,9,23,0.281,-11.89,-3.02,,5,13,,6,7,,2,14,,1966,2250,,68.6,89.6,0.396,0.355,0.464,44.6,50.5,11.7,8.9,0.421,17.5,29.7,0.262
200,Nicholls State,28,14,14,0.5,-5.72,-4.52,,8,8,,11,2,,3,11,,1836,1730,,63.5,102.3,0.384,0.396,0.542,47,62.3,12.4,3.2,0.509,17.5,28.5,0.264
201,NJIT,30,15,15,0.5,-13.18,-9.64,,9,3,,10,5,,5,9,,2065,2052,,68.9,99.1,0.333,0.352,0.514,50.2,52.5,8.6,10.6,0.493,16.9,30.1,0.206
202,Norfolk State,32,12,20,0.375,-12.2,-7.45,,8,8,,7,4,,3,14,,2238,2390,,70.1,98.2,0.41,0.32,0.523,49.7,52.7,8.9,14.1,0.486,19.4,32.3,0.278
203,North Carolina-Asheville NCAA,34,20,14,0.588,-0.69,-2.89,,11,7,,10,5,,8,8,,2506,2333,,70.1,102.9,0.415,0.264,0.537,49.3,55.8,12.7,11.9,0.495,17.8,33.2,0.295
204,North Carolina A&T,32,15,17,0.469,-12.06,-6.26,,9,7,,11,2,,4,14,,2282,2372,,69.8,100.1,0.432,0.349,0.524,47.9,49.4,9.1,12.1,0.488,18,32.2,0.287
205,North Carolina Central,30,15,15,0.5,-13.03,-8.03,,,,,9,4,,6,10,,2062,2103,,67.7,100.3,0.378,0.35,0.544,48.1,48.9,11.4,8.9,0.512,19.7,30.9,0.261
206,North Carolina-Greensboro,31,7,24,0.226,-9.95,-0.37,,6,12,,3,12,,3,11,,2204,2501,,71.4,98.4,0.365,0.287,0.516,48.2,45.3,9.1,6.6,0.48,18.2,32.3,0.252
207,North Carolina State,31,15,16,0.484,7.02,6.8,,5,11,,11,5,,1,9,,2191,2184,,67.8,104.2,0.36,0.233,0.515,50.4,55.3,9.1,10.2,0.478,15,35.5,0.25
208,North Carolina-Wilmington,31,13,18,0.419,-3.41,-0.44,,7,11,,9,6,,3,11,,1975,2067,,61.7,101.3,0.287,0.364,0.528,48.6,49,8.7,9.4,0.501,18.5,33.6,0.198
209,North Carolina NCAA,37,29,8,0.784,18.87,10.15,,14,2,,15,0,,7,3,,2868,2545,,72.6,106.5,0.379,0.25,0.524,54,54.9,8.6,13.3,0.492,15.3,37.1,0.255
210,North Dakota State,29,14,15,0.483,-1.54,-3.5,,8,10,,10,3,,2,11,,2188,2062,,68.5,108.6,0.408,0.262,0.555,52.6,50.9,8.4,6.4,0.521,16.2,35.2,0.283
211,North Dakota,34,19,15,0.559,-11.83,-8.7,,8,4,,11,3,,4,11,,2319,2327,,67.8,98,0.44,0.344,0.525,50.3,53.9,8.8,10.2,0.485,17.9,27.9,0.299
212,North Florida,34,15,19,0.441,-6.25,0.31,,10,10,,4,7,,7,11,,2208,2431,,67.5,94.8,0.425,0.354,0.528,46.1,53.3,8.6,7.4,0.494,21.4,31.3,0.281
213,North Texas,33,22,11,0.667,-1.49,-5.07,,8,8,,14,2,,5,8,,2516,2358,,68.8,110.4,0.519,0.273,0.582,52.1,49,6.1,5.6,0.531,16.9,31.2,0.389
214,Northeastern,31,11,20,0.355,-2.67,1.17,,6,12,,6,5,,3,10,,2064,2183,,63,104.8,0.358,0.316,0.548,46.9,59.4,10.7,6.4,0.507,17.1,30.2,0.269
215,Northern Arizona,32,19,13,0.594,0.62,-3.72,,9,7,,13,1,,6,12,,2299,2078,,65.8,108.2,0.339,0.278,0.567,50.5,64.2,9.5,11.5,0.545,17.1,31.1,0.226
216,Northern Colorado NCAA,32,21,11,0.656,1.39,-2.24,,13,3,,14,0,,6,9,,2287,2105,,66.8,107,0.434,0.385,0.555,53.6,50.8,8.9,6.4,0.502,18.1,35.3,0.334
217,Northern Illinois,30,9,21,0.3,-8.05,-2.26,,5,11,,6,8,,3,13,,2055,2199,,69.3,98,0.385,0.317,0.513,50.6,50.6,8,6.3,0.472,17.6,31,0.269
218,Northern Iowa,34,20,14,0.588,4.53,2.04,,10,8,,13,5,,5,8,,2167,2046,,59.9,106.4,0.355,0.427,0.545,49,49.3,8.4,5.5,0.501,13.6,25.4,0.271
219,Northwestern State,32,18,14,0.563,-8.88,-7.02,,10,6,,13,3,,5,10,,2462,2482,,74.3,102,0.491,0.326,0.532,47.7,51.2,12.1,17.6,0.499,19,35.9,0.313
220,Northwestern,34,20,14,0.588,11.66,7.54,,7,11,,13,4,,5,8,,2441,2301,,63.5,111.8,0.3,0.452,0.563,47.6,66.6,10.4,9.2,0.534,13.4,27.6,0.219
221,Notre Dame NCAA,34,27,7,0.794,18.17,8.43,,14,4,,17,0,,5,4,,2558,2227,,64.3,115.3,0.451,0.386,0.575,53.2,66.8,7,9.6,0.535,14.1,33.4,0.327
222,Oakland NCAA,35,25,10,0.714,8.28,0.1,,17,1,,10,1,,10,7,,2992,2690,,72.4,117.6,0.39,0.359,0.591,53.4,54,8.5,12.2,0.559,15.7,37.2,0.281
223,Ohio State NCAA,37,34,3,0.919,25.84,8.38,,16,2,,20,0,,9,2,,2854,2208,,64.1,120,0.371,0.327,0.589,53.8,57.7,11.1,9.1,0.563,13.4,35.7,0.26
224,Ohio,35,19,16,0.543,0.59,-1.01,,9,7,,11,8,,7,6,,2604,2548,,68,105.3,0.373,0.356,0.537,50.2,59.5,11.2,6.7,0.498,16.3,33.6,0.268
225,Oklahoma State,34,20,14,0.588,8.53,6.94,,6,10,,14,2,,1,10,,2318,2264,,66.1,101.7,0.451,0.267,0.526,51.4,42.7,10,8.4,0.475,17.2,32.9,0.327
226,Oklahoma,32,14,18,0.438,3.71,6.42,,5,11,,12,4,,1,10,,2111,2199,,65,100.7,0.359,0.356,0.547,48,54.2,8.5,7.7,0.508,18.4,27.4,0.265
227,Old Dominion NCAA,34,27,7,0.794,9.03,1.76,,14,4,,14,2,,7,4,,2231,1984,,60.7,108.1,0.376,0.276,0.518,58.6,60.4,11.3,13.2,0.485,16.4,45.4,0.251
228,Oral Roberts,35,19,16,0.543,0.86,-1.17,,13,5,,9,3,,7,10,,2615,2544,,67.2,110.5,0.409,0.271,0.561,50.7,48.2,8.2,7.5,0.524,16.3,34.2,0.293
229,Oregon State,31,11,20,0.355,1.51,5.03,,5,13,,9,7,,1,12,,2147,2256,,70,98.9,0.436,0.305,0.515,49.8,50.7,13.5,6.8,0.473,18.5,34.1,0.297
230,Oregon,39,21,18,0.538,6.92,6.92,,7,11,,16,8,,3,8,,2737,2704,,68.3,102.3,0.308,0.352,0.522,48.5,56.1,12,7.8,0.485,15.4,30.7,0.227
231,Pacific,31,16,15,0.516,0.75,-0.88,,8,8,,8,5,,6,9,,2038,1945,,61.5,106.1,0.347,0.413,0.545,51.7,61.8,7.3,5.8,0.512,16,30.9,0.244
232,Penn State NCAA,34,19,15,0.559,11.98,11.45,,9,9,,13,5,,3,8,,2144,2126,,59.8,105.5,0.311,0.365,0.534,51,53.8,7.4,7.4,0.501,15.1,32.2,0.225
233,Pennsylvania,28,13,15,0.464,-2.99,-1.64,,7,7,,7,5,,5,10,,1868,1906,,63.7,102,0.378,0.354,0.559,48.7,58.7,9.3,6.9,0.52,18.8,26.2,0.279
234,Pepperdine,33,12,21,0.364,-3.91,1.43,,5,9,,7,7,,2,13,,2289,2442,,67.5,101.9,0.404,0.292,0.518,51.5,52.9,8.6,8.3,0.472,16.6,34.2,0.29
235,Pittsburgh NCAA,34,28,6,0.824,20.82,7.85,,15,3,,17,1,,7,2,,2514,2073,,63.3,116.3,0.431,0.274,0.559,57.8,67.2,7.4,9,0.529,15,42.9,0.289
236,Portland State,30,14,16,0.467,-7.74,-4.47,,5,11,,10,5,,2,11,,2169,2230,,68.9,104.9,0.38,0.354,0.541,47.5,52.3,8.8,5.7,0.501,15.7,29.7,0.276
237,Portland,32,20,12,0.625,4.7,2.2,,7,7,,13,2,,7,7,,2272,2192,,64.8,108.7,0.33,0.337,0.562,52.6,55.9,8.2,9.1,0.527,17,34.2,0.245
238,Prairie View,32,10,22,0.313,-19.63,-8.77,,7,11,,8,3,,1,16,,2011,2242,,69.3,89.7,0.31,0.349,0.456,48.6,49.9,9.5,9.9,0.434,17.8,32.7,0.179
239,Presbyterian,31,13,18,0.419,-7.72,-2.85,,7,11,,6,5,,6,12,,1915,2066,,61.3,99.2,0.305,0.365,0.547,47.4,54.1,6.5,4.7,0.515,19.6,26.8,0.222
240,Princeton NCAA,32,25,7,0.781,3.71,-1.61,,13,2,,12,0,,10,5,,2215,2017,,63.4,107,0.359,0.313,0.558,53.1,54.2,9.2,10.7,0.522,16.4,31.5,0.263
241,Providence,32,15,17,0.469,6.91,6.44,,4,14,,14,5,,0,10,,2426,2411,,72,104.8,0.376,0.334,0.512,50.5,46.7,10.8,10,0.477,14.7,37.2,0.251
242,Purdue NCAA,34,26,8,0.765,19.36,8.69,,14,4,,16,0,,7,5,,2466,2103,,66,109.5,0.344,0.33,0.542,51.4,61.5,9.4,10.5,0.507,13.5,32.4,0.246
243,Quinnipiac,32,22,10,0.688,-2.08,-6.39,,13,5,,12,6,,9,4,,2295,2157,,68.7,104.3,0.352,0.257,0.497,56.1,58.8,7.3,9.6,0.472,14.8,40.6,0.215
244,Radford,29,5,24,0.172,-16.76,-2.52,,2,16,,5,8,,0,16,,1734,2065,,68.1,87,0.413,0.289,0.465,47.8,49.2,11.5,8.8,0.426,20.3,32,0.259
245,Rhode Island,34,20,14,0.588,3.34,1.9,,9,7,,12,4,,6,8,,2316,2267,,66.9,101.5,0.304,0.368,0.516,48.9,50.1,9.8,10.7,0.484,15.6,31.3,0.213
246,Rice,32,14,18,0.438,1.67,2.67,,5,11,,9,7,,3,8,,2148,2149,,64.5,102.9,0.432,0.302,0.525,51.8,56.7,10.4,7.9,0.477,16.1,32.5,0.313
247,Richmond NCAA,37,29,8,0.784,11.23,2.79,,13,3,,12,3,,10,3,,2577,2265,,63.2,109.5,0.323,0.366,0.557,48.5,59.4,9.3,10.8,0.531,14.2,28.6,0.222
248,Rider,34,23,11,0.676,1.62,-2.67,,13,5,,9,5,,11,5,,2486,2340,,68.6,105.8,0.35,0.351,0.556,49.2,53.8,8.7,11,0.535,17.3,30.4,0.227
249,Robert Morris,32,18,14,0.563,-0.8,-2.61,,12,6,,11,2,,7,12,,2153,2095,,65.6,101.4,0.354,0.336,0.514,50.4,58,11.4,6.6,0.48,16.8,34.4,0.242
250,Rutgers,32,15,17,0.469,7.88,7.22,,5,13,,10,6,,3,10,,2122,2101,,64.4,101.8,0.317,0.286,0.519,49.2,55.4,12.1,14.5,0.49,16,32,0.214
251,Sacramento State,28,7,21,0.25,-14.01,-4.05,,4,12,,6,7,,1,13,,1729,1948,,64.6,93.9,0.385,0.343,0.494,50.7,58,9.3,9.5,0.453,19.1,33.4,0.262
252,Sacred Heart,29,11,18,0.379,-9.4,-6.12,,6,12,,5,7,,6,10,,1922,2017,,67.1,97.9,0.376,0.305,0.521,49.6,51.2,11.4,9,0.482,19.6,33.1,0.264
253,Saint Francis (PA),30,9,21,0.3,-11.5,-3.84,,7,11,,7,5,,2,16,,1957,2187,,67.3,96.5,0.363,0.322,0.526,47.8,58.8,8.3,8.2,0.484,19.9,29.6,0.264
254,Saint Joseph's,33,11,22,0.333,-1.75,3.46,,4,12,,5,9,,4,12,,2129,2301,,63.9,100.2,0.34,0.352,0.51,46.9,55.3,7.9,14.5,0.473,14.8,28.5,0.241
255,Saint Louis,31,12,19,0.387,2.83,3.06,,6,10,,9,7,,1,10,,1953,1933,,64.8,97.3,0.328,0.318,0.516,48.8,58.9,9.9,8.9,0.488,17.9,28.5,0.216
256,Saint Mary's (CA),34,25,9,0.735,13.04,1.95,,11,3,,15,3,,6,4,,2684,2253,,67.1,117.2,0.338,0.382,0.593,53.1,59.3,10.6,8.2,0.559,14.4,33.4,0.257
257,Saint Peter's NCAA,34,20,14,0.588,-0.28,-1.08,,11,7,,8,3,,8,8,,2069,2042,,65.5,92.5,0.389,0.322,0.49,49.3,53.7,11.8,12.4,0.455,19.5,32.1,0.25
258,Sam Houston State,31,18,13,0.581,-2.38,-3.9,,10,6,,9,5,,7,6,,2161,2049,,68.6,101.2,0.38,0.357,0.524,53.1,70,11.5,6.1,0.493,17.8,34.4,0.251
259,Samford,31,12,19,0.387,-11.39,-4.22,,4,14,,6,8,,5,9,,1880,2072,,62.2,96.7,0.355,0.53,0.549,42.8,65.2,9.4,4.9,0.522,19.6,20.4,0.24
260,San Diego State NCAA,37,34,3,0.919,17.96,6.36,,14,2,,14,1,,11,1,,2660,2192,,63.7,112,0.305,0.298,0.543,54.9,50.4,9.6,12,0.515,14.1,38.2,0.213
261,San Diego,30,6,24,0.2,-8.6,3.18,,2,12,,5,9,,0,12,,1826,2114,,65.6,92.4,0.369,0.324,0.511,44.7,52.7,7.8,7.6,0.476,19.8,25.5,0.251
262,San Francisco,34,19,15,0.559,1.78,3.06,,10,4,,13,4,,5,8,,2384,2401,,68.6,100.8,0.385,0.357,0.533,52.3,51.9,7.7,6.4,0.498,18.1,30.9,0.265
263,San Jose State,33,17,16,0.515,-1.54,-0.08,,5,11,,9,6,,6,9,,2391,2405,,68.1,103.2,0.377,0.278,0.507,51,50.2,7.7,6.6,0.456,13.3,32.7,0.284
264,Santa Clara,38,24,14,0.632,3.06,1.25,,8,6,,15,5,,8,6,,2810,2690,,68.2,107.3,0.469,0.368,0.544,53.2,53.6,10.5,8.4,0.495,17.1,37.1,0.34
