"","X","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1",5599,"Houston","B12",0.977819,1,119.041,16,85.648,1,63.3805,349,10.38737886,15,0.4996,0.4996,33,0.7079,0.7146,1,2024
"2",5600,"Connecticut","BE",0.969269,2,126.761,1,93.8964,13,64.6403,325,10.86183812,24,0.4613,0.4613,32,0.6566,0.6656,1,2024
"3",5601,"Purdue","B10",0.963974,3,126.116,2,94.7646,17,67.6441,167,10.94707683,32,0.6637,0.6637,35,0.7501,0.7639,1,2024
"4",5602,"Iowa St.","B12",0.957149,4,113.447,51,86.594,2,67.6094,169,6.69872153,11,0.3723,0.3723,32,0.6636,0.666,2,2024
"5",5603,"Auburn","SEC",0.957138,5,120.681,10,92.1181,5,69.8926,59,5.427870388,16,0.5313,0.5313,28,0.6898,0.6883,4,2024
"6",5604,"Arizona","P12",0.953519,6,121.629,7,93.5289,10,72.1094,16,4.967163112,32,0.6732,0.6732,29,0.7192,0.7279,2,2024
"7",5605,"Tennessee","SEC",0.937487,7,115.461,34,91.238,3,69.2697,79,5.708660127,30,0.6326,0.6326,33,0.7165,0.7263,2,2024
"8",5606,"North Carolina","ACC",0.929178,8,116.763,26,93.3453,9,70.4166,47,6.426785591,27,0.6222,0.6222,30,0.706,0.7193,1,2024
"9",5607,"Marquette","BE",0.928465,9,118.621,19,94.9199,19,69.1202,86,6.099670759,31,0.6454,0.6454,35,0.7237,0.7275,2,2024
"10",5608,"Duke","ACC",0.926335,10,120.746,9,96.8866,29,66.9194,216,3.236371784,20,0.5264,0.5264,26,0.6665,0.6667,4,2024
"11",5609,"Creighton","BE",0.9255,11,120.448,11,96.7501,28,66.9928,212,4.11389898,25,0.5958,0.5958,32,0.6959,0.6991,3,2024
"12",5610,"Illinois","B10",0.921539,12,125.292,3,101.133,96,69.9012,58,5.95639383,17,0.4684,0.4684,32,0.7036,0.7071,3,2024
"13",5611,"Saint Mary's","WCC",0.921408,13,115.922,30,93.5842,11,62.1239,358,1.565888999,20,0.5799,0.5799,20,0.557,0.5503,5,2024
"14",5612,"Gonzaga","WCC",0.916759,14,121.458,8,98.5878,48,69.135,85,2.543414831,28,0.576,0.576,23,0.5585,0.5525,5,2024
"15",5613,"Alabama","SEC",0.911472,15,125.063,4,102.11,122,72.5505,14,3.37564581,29,0.6705,0.6705,36,0.7537,0.7553,4,2024
