"","X","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"131",5729,"Western Kentucky","CUSA",0.594369,131,105.179,176,101.742,108,75.1031,1,-6.552594865,7,0.3231,0.3231,10,0.4048,0.3889,15,2024
"133",5731,"Akron","MAC",0.593241,133,105.008,177,101.618,104,65.7444,277,-4.462566856,19,0.5212,0.5212,13,0.426,0.4113,14,2024
"134",5732,"Morehead St.","OVC",0.586674,134,106.625,149,103.426,142,64.329,334,-3.400465768,20,0.4092,0.4092,12,0.3224,0.3048,14,2024
"136",5734,"Oakland","Horz",0.586089,136,107.795,131,104.583,161,66.8156,223,-4.206760754,32,0.6431,0.6431,16,0.4569,0.4441,14,2024
"138",5736,"South Dakota St.","Sum",0.583357,138,107.524,137,104.423,153,67.9442,148,-7.465850303,12,0.4389,0.4389,11,0.4024,0.386,15,2024
"159",5757,"Colgate","Pat",0.513333,159,102.26,226,101.787,112,66.2462,256,-4.11203476,24,0.5549,0.5549,12,0.3462,0.3296,14,2024
"170",5768,"Longwood","BSth",0.477539,170,104.01,201,104.826,170,66.8673,221,-8.657255135,8,0.2576,0.2576,11,0.3658,0.3478,16,2024
"192",5790,"Long Beach St.","BW",0.431714,192,105.339,174,107.887,230,71.4623,23,-8.046142262,15,0.4236,0.4236,14,0.4469,0.4325,15,2024
"203",5801,"Montana St.","BSky",0.412956,203,103.308,215,106.517,201,68.4958,114,-12.60578334,11,0.3608,0.3608,9,0.3636,0.3636,16,2024
"208",5806,"Saint Peter's","MAAC",0.40374,208,96.8481,314,100.188,82,64.0442,337,-8.790790523,15,0.4219,0.4219,11,0.3815,0.3641,15,2024
"233",5831,"Stetson","ASun",0.349061,233,108.201,120,114.227,348,65.9793,265,-6.865184225,20,0.4423,0.4423,13,0.3705,0.3529,16,2024
"264",5862,"Grambling St.","SWAC",0.295144,264,98.5381,291,106.287,197,64.9005,316,-7.971222165,32,0.5572,0.5572,16,0.3532,0.3358,16,2024
"277",5875,"Howard","MEAC",0.274849,277,104.311,191,113.493,340,67.7997,156,-12.1041689,12,0.4187,0.4187,8,0.3076,0.3076,16,2024
"287",5885,"Wagner","NEC",0.25483,287,95.4636,329,104.8,167,61.3974,361,-11.69620782,13,0.3632,0.3632,9,0.2928,0.2729,16,2024
