,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,20,11,0.645,-2.87,-6.87,,15,5,,13,3,,7,8,,2352,2024,,71.1,105,0.383,0.373,0.549,50.1,56.6,13.1,7.9,0.507,16.9,30.6,0.284
2,Air Force,32,12,20,0.375,-0.37,3.02,,5,13,,8,7,,3,9,,2338,2386,,68.9,106,0.357,0.417,0.568,50,58.5,7.3,4.6,0.534,16.1,22.7,0.261
3,Akron,31,24,7,0.774,7.15,-0.4,,14,4,,15,2,,8,4,,2348,2062,,70.6,107.2,0.351,0.444,0.562,50.7,51.4,7.2,7.3,0.521,16,27.9,0.271
4,Alabama A&M,30,8,22,0.267,-18.88,-8.85,,5,13,,6,5,,2,16,,1845,2146,,69.6,87.9,0.327,0.317,0.462,47.5,49.7,8.3,5.7,0.424,16.4,24.7,0.219
5,Alabama-Birmingham,32,19,13,0.594,-0.94,-1.64,,9,9,,11,6,,5,7,,2154,2088,,67.2,100.2,0.351,0.3,0.537,54.7,43.2,8.9,8.7,0.503,19,31.7,0.247
6,Alabama State,32,8,24,0.25,-16.15,-6.53,,7,11,,4,5,,2,16,,1965,2273,,70.8,86.7,0.357,0.39,0.477,47.1,47.6,8.8,6,0.446,19.9,25.7,0.222
7,Alabama,31,16,15,0.516,11.12,8.12,,8,10,,10,5,,4,8,,2542,2449,,76.1,106,0.369,0.489,0.553,49.7,51.6,8.2,10.4,0.522,16.7,29.8,0.256
8,Albany (NY),32,14,18,0.438,-8.78,-5.91,,7,9,,7,7,,5,11,,2127,2190,,69.7,95,0.339,0.438,0.518,49.8,56.4,8,7.9,0.482,17.5,24.1,0.239
9,Alcorn State,30,15,15,0.5,-14.64,-9.64,,11,7,,11,2,,4,13,,2251,2196,,72.6,102.5,0.304,0.399,0.536,51.3,51.5,10.9,8.4,0.5,17.1,30.2,0.226
