,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,16,16,0.5,-9.14,-6.82,,8,10,,9,6,,6,9,,2359,2279,,71.5,102.3,0.309,0.35,0.549,49.7,55.4,11.3,11.6,0.521,17.7,28,0.217
2,Air Force,31,12,19,0.387,-4.31,1.72,,6,12,,9,7,,3,10,,2124,2244,,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233
3,Akron,32,14,18,0.438,-6.82,-1.92,,6,12,,12,4,,2,10,,2296,2411,,69,102.7,0.319,0.467,0.547,49.2,52.7,8.5,7.5,0.518,17.3,27.5,0.222
4,Alabama A&M,31,3,28,0.097,-23.97,-8.04,,3,15,,2,9,,1,18,,1873,2367,,68.2,88.2,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.9,0.203
5,Alabama-Birmingham,33,20,13,0.606,4.9,-0.65,,10,8,,14,3,,5,6,,2536,2303,,69.4,109.8,0.291,0.334,0.575,54.8,59.3,7.7,11.6,0.545,16.5,31.2,0.218
6,Alabama State,31,8,23,0.258,-18.55,-8.62,,8,10,,4,8,,4,13,,2129,2437,,70.5,97,0.352,0.347,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.227
7,Alabama NCAA,36,20,16,0.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.4,0.281
8,Albany (NY),32,22,10,0.688,0.01,-5.41,,10,6,,14,3,,8,7,,2375,2182,,67.3,110.3,0.37,0.273,0.55,55.2,48.3,7,7.9,0.507,14.7,34.9,0.279
9,Alcorn State,32,11,21,0.344,-18.07,-8.6,,7,11,,9,5,,2,16,,2244,2388,,70.4,99.2,0.328,0.382,0.532,48.4,53,8.8,7.7,0.499,17.9,27.2,0.232
10,American,30,6,24,0.2,-14.63,-6.17,,3,15,,4,8,,2,16,,1961,2215,,67.3,96.7,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.7,0.202
11,Appalachian State,33,15,18,0.455,-4.81,-2.65,,9,9,,9,4,,4,11,,2520,2448,,72,104.6,0.378,0.433,0.539,52.3,47.6,8.2,8.9,0.509,16.3,30.8,0.252
12,Arizona State NCAA,32,20,12,0.625,14.37,6.56,,8,10,,13,4,,4,6,,2645,2395,,72.2,113.6,0.413,0.413,0.576,49,51.6,9,9.9,0.538,13,27.9,0.303
13,Arizona NCAA,35,27,8,0.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,68.6,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.3,0.281
14,Little Rock,32,7,25,0.219,-10.44,-2.21,,4,14,,5,10,,2,14,,2038,2242,,66.6,94.2,0.315,0.355,0.505,49.1,52.1,7.4,9.5,0.484,18.5,28.9,0.192
15,Arkansas-Pine Bluff,35,14,21,0.4,-14.84,-9.36,,12,6,,7,3,,6,13,,2307,2499,,68.4,95.7,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,24,0.247
16,Arkansas State,32,11,21,0.344,-9.65,-3.02,,6,12,,7,7,,4,13,,2369,2523,,70.4,104.3,0.329,0.364,0.536,48.6,40.9,9.5,7.9,0.502,15.9,30.6,0.236
17,Arkansas NCAA,35,23,12,0.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255
18,Army,30,13,17,0.433,-8.62,-7.17,,6,12,,6,5,,4,12,,2230,2223,,71.7,103.3,0.243,0.418,0.542,49.6,61.1,7.9,8.2,0.524,16.4,27.1,0.16
19,Auburn NCAA,34,26,8,0.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,73.4,111.5,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,32,0.308
20,Austin Peay,34,19,15,0.559,-3.28,-2.49,,12,6,,13,5,,5,9,,2512,2446,,70.1,104.7,0.366,0.294,0.532,52.2,49.5,9.4,8.9,0.505,16.8,35.7,0.239
21,Ball State,32,19,13,0.594,-1.22,-1.99,,10,8,,14,2,,5,10,,2410,2362,,71.1,104.7,0.339,0.384,0.548,51.1,52.9,7.4,8.9,0.516,16.1,27.9,0.239
22,Baylor,34,19,15,0.559,14.59,9.17,,8,10,,15,5,,2,9,,2571,2369,,68.5,109.1,0.319,0.303,0.556,54.2,54.8,7.9,12.2,0.523,16.7,35.6,0.234
23,Belmont,33,24,9,0.727,5.54,-2.88,,15,3,,14,2,,9,6,,2562,2284,,68.5,113.3,0.279,0.542,0.61,51.5,58.7,7.1,6.5,0.588,16.3,25.2,0.206
24,Bethune-Cookman,32,18,14,0.563,-12.21,-12.48,,12,4,,10,3,,8,10,,2621,2543,,77.7,104.6,0.402,0.372,0.54,52.1,55.5,8.1,8.9,0.502,17.3,33.5,0.282
25,Binghamton,31,11,20,0.355,-10.29,-6.36,,2,14,,7,7,,3,12,,2147,2181,,67.9,101.6,0.297,0.378,0.53,49.6,47.8,8,11.6,0.51,15.8,26,0.19
26,Boise State,32,23,9,0.719,11.21,3.05,,13,5,,15,1,,6,6,,2502,2210,,70.7,108.9,0.313,0.425,0.572,55.9,48.6,8,5.9,0.542,16.5,29.4,0.231
27,Boston College,35,19,16,0.543,9,7.2,,7,11,,14,3,,2,11,,2673,2610,,70.1,107.7,0.307,0.395,0.554,51.6,51.9,7.1,8.8,0.521,15.5,29.6,0.228
28,Boston University,31,15,16,0.484,-8.34,-5.84,,10,8,,6,7,,9,9,,2186,2226,,68.7,102.6,0.323,0.355,0.548,50.1,52.5,10.8,9.8,0.529,17.6,29,0.206
29,Bowling Green State,32,16,16,0.5,-6.38,-2.88,,7,11,,9,6,,6,9,,2429,2490,,71.9,103.6,0.372,0.352,0.526,51.2,51.4,8.1,6.6,0.483,15,30,0.272
30,Bradley,33,20,13,0.606,2.08,0.36,,9,9,,13,2,,4,9,,2223,2136,,66.3,101.7,0.372,0.343,0.528,51.8,58.2,9.8,12.9,0.49,17.3,31.9,0.263
31,Brigham Young,35,24,11,0.686,8.04,1.53,,11,7,,13,3,,7,6,,2600,2372,,67.9,108.2,0.376,0.341,0.579,51,58,9.3,11,0.541,15.2,22.4,0.282
32,Brown,27,11,16,0.407,-7.78,-4.67,,4,10,,8,5,,3,11,,2080,2133,,72.7,104,0.409,0.361,0.534,50.7,48.6,8.7,8.1,0.483,15.7,30.3,0.309
33,Bryant,31,3,28,0.097,-18.75,-5.43,,2,16,,1,11,,2,17,,2169,2582,,71,98.2,0.278,0.401,0.509,44.7,54.1,8.6,3.9,0.479,15.9,26.1,0.196
34,Bucknell NCAA,35,25,10,0.714,4.48,-3.46,,16,2,,15,1,,10,8,,2837,2559,,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,27,0.306
35,Buffalo NCAA,36,27,9,0.75,7.99,0.25,,15,3,,14,1,,8,5,,3047,2742,,73.9,113.4,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.8,0.208
36,Butler NCAA,35,21,14,0.6,16.92,10.55,,9,9,,14,3,,3,7,,2763,2540,,69.6,111.1,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.4,0.202
37,Cal Poly,31,9,22,0.29,-11.55,-1.83,,4,12,,7,6,,1,13,,2082,2302,,66.6,98.4,0.263,0.411,0.509,47.5,51.6,7.3,10.2,0.47,15.2,25.8,0.205
38,Cal State Bakersfield,30,12,18,0.4,-6.58,-0.73,,5,9,,8,4,,3,12,,1981,2068,,67.4,97.9,0.346,0.367,0.509,51.4,55.5,9,9.6,0.473,17.6,32.3,0.241
39,Cal State Fullerton NCAA,32,20,12,0.625,-0.92,-1.02,,10,6,,9,4,,7,7,,2318,2245,,69.9,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,27.1,0.316
40,Cal State Northridge,30,6,24,0.2,-13.51,-3.55,,3,13,,4,9,,2,13,,1983,2206,,66.5,98.2,0.28,0.304,0.518,46,50.1,7.4,6.3,0.488,16,24,0.198
41,UC-Davis,33,22,11,0.667,0.94,-1.84,,12,4,,10,2,,9,7,,2388,2241,,67.3,104.3,0.393,0.319,0.561,48.4,49,10.2,6.9,0.525,16.7,24.9,0.282
42,UC-Irvine,35,18,17,0.514,-0.21,-0.33,,11,5,,7,5,,7,10,,2440,2350,,68.5,101,0.288,0.319,0.521,55,47.8,7.4,10.7,0.49,17.2,33.1,0.204
43,UC-Riverside,31,9,22,0.29,-8.5,-1.53,,4,12,,6,8,,3,13,,2024,2163,,69.8,93.2,0.326,0.336,0.493,47.7,54.3,8.7,8.9,0.454,17.2,26.9,0.229
44,UC-Santa Barbara,32,23,9,0.719,2.1,-3.36,,11,5,,12,2,,9,6,,2425,2211,,68.1,110.9,0.314,0.356,0.558,52.1,54.8,7,9.8,0.532,13.4,29.3,0.219
45,University of California,32,8,24,0.25,-3.4,6.06,,2,16,,5,12,,3,8,,2166,2483,,70.6,95.6,0.38,0.275,0.486,50.5,40.8,9.7,14,0.446,17.4,34.7,0.256
46,Campbell,34,18,16,0.529,-5.68,-6.68,,10,8,,14,4,,4,11,,2581,2412,,68.6,109.8,0.347,0.432,0.593,48.5,54.1,9.7,11.1,0.561,15.6,21.5,0.26
47,Canisius,33,21,12,0.636,0.44,-4.8,,15,3,,11,3,,8,8,,2519,2346,,69.9,108.9,0.299,0.45,0.568,49.5,61.4,10,8.1,0.542,16.2,29.9,0.213
48,Central Arkansas,35,18,17,0.514,-5.83,-5.97,,10,8,,9,5,,8,11,,2819,2766,,74.3,106.5,0.361,0.372,0.557,47.5,57.8,8.8,12.1,0.519,15.9,27.2,0.265
49,Central Connecticut State,32,14,18,0.438,-11.62,-7.59,,7,11,,8,4,,6,14,,2171,2300,,66.3,100.3,0.326,0.345,0.54,52.3,50.4,7.4,9.7,0.51,19.1,31.1,0.228
50,Central Florida,32,19,13,0.594,4.75,3.75,,9,9,,12,4,,5,6,,2007,1975,,64.9,96.2,0.431,0.331,0.512,50.5,49.1,8.1,9.4,0.478,18,28.5,0.277
51,Central Michigan,36,21,15,0.583,-1.39,-3.24,,7,11,,12,5,,6,9,,2835,2661,,69.1,112,0.325,0.474,0.561,50.7,51.6,9,9.4,0.517,14.2,31.4,0.262
52,Charleston Southern,31,15,16,0.484,-8.15,-6.15,,9,9,,9,6,,6,10,,2232,2133,,67.5,105,0.324,0.352,0.539,51.2,45.9,10.5,11.8,0.505,16.5,31.6,0.234
53,Charlotte,29,6,23,0.207,-10.13,0.27,,2,16,,4,11,,2,12,,2066,2317,,72.2,98.2,0.39,0.345,0.533,48.7,45.2,7.8,5.7,0.493,18.1,26.3,0.279
54,Chattanooga,33,10,23,0.303,-11.09,-4.05,,3,15,,8,8,,1,14,,2289,2424,,67.4,101.1,0.347,0.43,0.545,49.2,53.7,7.3,5.6,0.511,18,27.2,0.247
55,Chicago State,32,3,29,0.094,-21.53,1.17,,1,13,,3,8,,0,19,,2171,2756,,74,91.7,0.33,0.289,0.494,45.5,47.4,9.8,7,0.452,18,26.7,0.239
56,Cincinnati NCAA,36,31,5,0.861,20.25,3.53,,16,2,,15,1,,9,2,,2673,2071,,66.1,112.3,0.36,0.353,0.543,55.6,60.4,10.8,15.8,0.512,14.1,38.5,0.249
57,Citadel,32,11,21,0.344,-13.63,-2.94,,5,13,,7,8,,3,12,,2639,2819,,79.6,102.8,0.313,0.527,0.535,46.1,59.4,11.7,8.2,0.504,16.2,27.5,0.221
58,Clemson NCAA,35,25,10,0.714,17.17,9.25,,11,7,,15,1,,4,6,,2584,2307,,67.5,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27.1,0.253
59,Cleveland State,35,12,23,0.343,-10.82,-3.64,,6,12,,7,7,,2,15,,2402,2613,,69.2,98.5,0.291,0.439,0.537,44.3,53.5,9.5,7.3,0.509,17,22.2,0.205
60,Coastal Carolina,32,14,18,0.438,-3.91,-2.4,,8,10,,7,9,,5,7,,2298,2241,,69,103.3,0.387,0.364,0.535,54.2,53.1,7.7,11.5,0.494,18.2,34.5,0.279
61,Colgate,33,19,14,0.576,-4.86,-5.73,,12,6,,13,3,,6,11,,2394,2315,,67.5,107.5,0.291,0.451,0.554,49,51.4,9,10,0.518,14.4,26.2,0.225
62,College of Charleston NCAA,34,26,8,0.765,1.83,-3.29,,14,4,,14,0,,7,6,,2536,2331,,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.7,0.277
63,Colorado State,32,11,21,0.344,-3.86,3.79,,4,14,,8,8,,3,10,,2314,2537,,71.4,100,0.335,0.352,0.514,50.7,50.4,8.2,9.5,0.476,15.9,30.7,0.241
64,Colorado,32,17,15,0.531,6.07,7,,8,10,,12,3,,1,10,,2307,2337,,69.5,102.5,0.333,0.365,0.542,52.4,50.5,6.2,10.5,0.506,17.5,29.4,0.243
65,Columbia,27,8,19,0.296,-5.64,-3.02,,5,9,,7,5,,1,14,,2062,2085,,71,106.6,0.241,0.435,0.549,49,51.5,9.2,10.4,0.522,15.2,27.6,0.179
66,Connecticut,32,14,18,0.438,1.08,6.05,,7,11,,11,5,,2,9,,2181,2340,,67.1,100,0.324,0.36,0.516,48.2,43.8,8.7,11.2,0.475,16,29.4,0.241
67,Coppin State,32,5,27,0.156,-20.97,-7.25,,5,11,,4,6,,1,20,,1945,2384,,69.1,86.3,0.272,0.476,0.472,44.8,51.4,7.6,7,0.433,18.3,22.3,0.201
68,Cornell,28,12,16,0.429,-8.8,-3.24,,6,8,,8,4,,4,11,,2124,2250,,70.7,104.5,0.356,0.396,0.563,48,60.3,7.1,8.7,0.529,16.6,24.2,0.26
69,Creighton NCAA,33,21,12,0.636,16.35,8.1,,10,8,,16,2,,4,7,,2756,2444,,72.8,113.8,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.5,0.194
70,Dartmouth,27,7,20,0.259,-10.31,-4,,3,11,,6,6,,1,14,,1841,1970,,67.8,100.2,0.327,0.383,0.548,48.5,55.1,8.3,9.3,0.517,17.9,23.7,0.233
71,Davidson NCAA,33,21,12,0.636,11.02,2.57,,13,5,,11,1,,6,8,,2519,2240,,65.3,115.7,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.6,0.196
72,Dayton,31,14,17,0.452,1.64,2.7,,8,10,,12,4,,1,10,,2244,2277,,67,106.4,0.318,0.44,0.583,49.7,60.7,7.7,7.3,0.555,18.1,25.5,0.232
73,Delaware State,32,4,28,0.125,-24.59,-9.32,,2,14,,4,9,,0,18,,2034,2458,,66.9,93.6,0.29,0.332,0.502,48.2,46.9,8.7,8.2,0.471,19.4,30.4,0.201
74,Delaware,33,14,19,0.424,-6.93,-2.96,,6,12,,7,8,,4,10,,2338,2428,,67,105,0.349,0.311,0.533,50.2,44.9,7.4,6.4,0.508,13.9,27.2,0.228
75,Denver,30,15,15,0.5,-5.22,-2.54,,8,6,,10,4,,3,9,,2192,2189,,68.7,104.5,0.318,0.31,0.56,54.4,56.3,6.2,7.4,0.535,18.7,31.4,0.221
76,DePaul,31,11,20,0.355,6.55,8.45,,4,14,,6,10,,4,7,,2230,2289,,71.2,100.6,0.294,0.327,0.512,51.7,56.8,9,9.2,0.479,16.5,32.9,0.208
77,Detroit Mercy,32,8,24,0.25,-12.47,-2.07,,4,14,,5,11,,2,11,,2516,2743,,75.4,103.9,0.306,0.401,0.541,47.5,49.5,8.8,7.1,0.504,15.8,27.8,0.231
78,Drake,34,17,17,0.5,-0.51,0.59,,10,8,,11,3,,4,11,,2506,2495,,69.3,104.1,0.325,0.403,0.551,48.4,58.5,8.5,6.7,0.51,15.3,23.4,0.25
79,Drexel,33,13,20,0.394,-7.2,-2.48,,6,12,,9,5,,2,11,,2454,2591,,70.1,104.4,0.324,0.351,0.533,49.9,43.2,7.5,10,0.498,15.1,30.7,0.234
80,Duke NCAA,37,29,8,0.784,24.44,9.71,,13,5,,15,1,,6,5,,3121,2576,,70.6,118.6,0.346,0.363,0.586,55.5,57.6,10.5,12.4,0.559,14.7,38.8,0.246
81,Duquesne,32,16,16,0.5,-1.08,-3.33,,7,11,,13,6,,2,7,,2317,2245,,66.5,106.4,0.354,0.398,0.529,51.2,47.7,8.5,11.7,0.497,14.9,33,0.242
82,East Carolina,30,10,20,0.333,-8.72,-0.22,,4,14,,8,11,,2,8,,1993,2248,,68.8,95.3,0.287,0.346,0.509,47.9,52.4,7.1,7.9,0.483,18,27.8,0.191
83,East Tennessee State,34,25,9,0.735,3.72,-4.09,,14,4,,12,4,,11,4,,2556,2241,,69.7,107.8,0.331,0.363,0.564,52.9,54,11.2,12.7,0.536,16.7,31.2,0.235
84,Eastern Illinois,31,12,19,0.387,-8.33,-3.4,,7,11,,7,6,,4,12,,2065,2120,,66.4,100,0.319,0.363,0.519,49.9,53.6,8.8,13.1,0.489,17.3,30.3,0.218
85,Eastern Kentucky,31,11,20,0.355,-10.57,-3.68,,5,13,,6,7,,5,12,,2230,2371,,69.8,102.6,0.337,0.359,0.54,48,52.1,8.9,9.9,0.501,16.3,27.6,0.252
86,Eastern Michigan,35,22,13,0.629,-0.23,-2.81,,11,7,,14,3,,7,9,,2509,2339,,67.5,105,0.298,0.347,0.547,49.7,48.2,12.7,18.6,0.522,16.3,30,0.203
87,Eastern Washington,35,20,15,0.571,-0.03,-1.55,,13,5,,11,1,,6,12,,2619,2520,,69.2,107.4,0.284,0.411,0.572,49.6,47,7.6,8.1,0.541,14.9,22.4,0.217
88,Elon,32,14,18,0.438,-6.89,-1.69,,6,12,,8,5,,4,12,,2346,2437,,68,104.5,0.239,0.504,0.55,48.2,60.2,6.2,5.8,0.527,14.9,22.6,0.17
89,Evansville,32,17,15,0.531,0.69,1.35,,7,11,,15,3,,2,10,,2094,2045,,65.7,99.1,0.35,0.271,0.543,50.8,57,9,9.5,0.498,18.3,24.8,0.271
90,Fairfield,33,17,16,0.515,-4.98,-3.68,,9,9,,10,3,,3,10,,2506,2549,,72.1,103.3,0.309,0.444,0.544,48.3,55.3,8.7,7.6,0.514,15.4,24.4,0.22
91,Fairleigh Dickinson,31,13,18,0.419,-10.42,-5.66,,9,9,,8,5,,5,13,,2313,2350,,71.8,104,0.307,0.334,0.54,48.3,49.4,9.9,8.7,0.508,16.6,30.8,0.223
92,Florida A&M,34,9,25,0.265,-19.22,-8.34,,7,9,,6,4,,2,20,,2343,2684,,69.5,97.4,0.324,0.311,0.513,45.2,44.5,8.1,7.8,0.474,17.1,27.8,0.234
93,Florida Atlantic,31,12,19,0.387,-5.36,-0.14,,6,12,,7,7,,4,10,,2155,2172,,70.9,97.6,0.278,0.286,0.493,50.6,47.6,8.2,10,0.456,15.3,29.2,0.205
94,Florida Gulf Coast,35,23,12,0.657,1.93,-5.44,,12,2,,14,6,,9,6,,2847,2515,,73.3,111,0.321,0.33,0.583,53.8,51.2,10,7.6,0.554,16.8,31.7,0.238
95,Florida International,32,14,18,0.438,-4.3,-1.99,,8,10,,11,7,,3,9,,2262,2278,,69.8,98.9,0.368,0.331,0.503,47.8,46.4,10.6,9,0.479,13.6,25.4,0.224
96,Florida State NCAA,35,23,12,0.657,15.79,8.5,,9,9,,13,2,,4,7,,2806,2551,,72.2,109.5,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,32,0.256
97,Florida NCAA,34,21,13,0.618,16.67,10.08,,11,7,,12,5,,5,4,,2577,2353,,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234
98,Fordham,31,9,22,0.29,-6.74,1.26,,4,14,,8,9,,1,10,,1931,2179,,66.8,92.5,0.269,0.468,0.51,42.6,60.5,13.6,6.4,0.479,16.9,18.8,0.19
99,Fresno State,32,21,11,0.656,8.17,1.84,,11,7,,12,5,,8,5,,2459,2201,,68.5,110.9,0.378,0.304,0.578,51.9,46.9,9.8,9.3,0.55,15.3,28.2,0.262
100,Furman,33,23,10,0.697,4.43,-3.64,,13,5,,13,3,,7,6,,2619,2260,,70.5,112.1,0.278,0.474,0.577,50.1,55.8,11.3,6,0.554,14.4,27.6,0.198
101,Gardner-Webb,32,14,18,0.438,-9.68,-3.79,,9,9,,11,2,,3,13,,2258,2307,,69.1,100.6,0.284,0.365,0.538,50.7,50.5,8.7,8.5,0.508,17.2,26.9,0.204
102,George Mason,33,16,17,0.485,-2.99,0.83,,9,9,,10,7,,5,7,,2371,2497,,69.6,101.4,0.318,0.362,0.529,50.8,44.9,8.6,8,0.491,15.9,27.9,0.236
103,George Washington,33,15,18,0.455,-0.72,2.13,,7,11,,13,5,,1,10,,2225,2319,,66.3,101.8,0.289,0.301,0.526,50.8,52.9,8.6,13.1,0.495,16.5,31.7,0.205
104,Georgetown,30,15,15,0.5,7.16,5.29,,5,13,,11,8,,4,6,,2350,2294,,71.6,106.2,0.383,0.351,0.564,53.3,65.3,7.4,9.8,0.518,18,31.2,0.297
105,Georgia Southern,33,21,12,0.636,-0.54,-3.28,,11,7,,10,3,,8,7,,2504,2315,,70.5,107.2,0.396,0.394,0.529,49.5,38.9,9.7,10.4,0.497,13.6,31.1,0.263
