,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
106,Georgia State NCAA,35,24,11,0.686,3.23,-2.78,,12,6,,11,3,,9,6,,2614,2356,,67.9,108.8,0.303,0.413,0.562,47.7,48.6,10.7,15.1,0.54,14.5,26,0.205
107,Georgia Tech,32,13,19,0.406,5.25,7.47,,6,12,,12,7,,1,10,,2101,2172,,66.5,98.4,0.348,0.277,0.509,50,54.3,10.3,14.3,0.469,16.6,30.8,0.248
108,Georgia,33,18,15,0.545,10.24,8.87,,7,11,,11,4,,4,9,,2247,2202,,65.3,102.7,0.401,0.346,0.517,53.6,52.4,5.8,12.7,0.475,16.2,34.8,0.281
109,Gonzaga NCAA,37,32,5,0.865,18.43,2.59,,17,1,,15,1,,10,1,,3091,2505,,69.7,118.2,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.9,0.227
110,Grambling,31,17,14,0.548,-12.97,-10.3,,13,5,,6,4,,11,10,,2257,2321,,73.8,97.8,0.415,0.254,0.509,50.7,44,10.4,9.7,0.461,17.7,32,0.295
111,Grand Canyon,34,22,12,0.647,3.76,-4.81,,9,5,,16,3,,3,7,,2512,2213,,70.3,104.3,0.394,0.391,0.531,51.4,63.2,8.8,10.1,0.492,16,31.5,0.277
112,Green Bay,33,13,20,0.394,-8.51,-4.08,,7,11,,10,6,,2,13,,2517,2499,,74.1,102.2,0.331,0.401,0.537,48.7,53.4,9.2,7.8,0.497,16.2,26.3,0.249
113,Hampton,34,18,16,0.529,-8.85,-9.57,,11,4,,11,3,,5,11,,2703,2603,,75,105.2,0.335,0.289,0.537,50.9,53.4,7.1,8.9,0.492,14.9,29.6,0.26
114,Hartford,33,19,14,0.576,-5.54,-5.26,,11,5,,9,7,,9,6,,2326,2318,,67.7,103.7,0.309,0.426,0.551,48.9,51.9,8.9,11.2,0.527,16,25.2,0.21
115,Harvard,32,18,14,0.563,-0.28,-1.7,,12,2,,10,2,,6,11,,2182,2129,,66.5,100.6,0.288,0.411,0.541,52,53.1,8,11.4,0.503,18.1,26.7,0.224
116,Hawaii,30,17,13,0.567,-2.32,-2.5,,8,8,,13,7,,4,5,,2104,2071,,68.9,100.5,0.411,0.376,0.54,50.8,59.4,8.1,5.7,0.504,17.1,26.6,0.282
117,High Point,30,14,16,0.467,-6.74,-6.37,,9,9,,11,4,,3,11,,2126,1993,,67.1,105.2,0.348,0.27,0.54,51.6,45.5,11,8.5,0.507,16,31.9,0.244
118,Hofstra,31,19,12,0.613,-0.53,-1.6,,12,6,,9,4,,9,4,,2464,2397,,70.3,112.6,0.367,0.371,0.562,51.4,47.6,7.1,7,0.534,13.2,31,0.251
119,Holy Cross,31,12,19,0.387,-9.93,-5.83,,8,10,,6,7,,6,10,,1972,2099,,63.7,99,0.296,0.397,0.551,45,58.1,9.7,11.4,0.526,17.6,19.3,0.205
120,Houston Baptist,31,6,25,0.194,-16.14,-3.96,,2,16,,5,8,,1,16,,2382,2617,,75.5,100.9,0.345,0.329,0.497,50.9,50.2,8.7,7.5,0.471,15.5,35.6,0.215
121,Houston NCAA,35,27,8,0.771,15.99,4.16,,14,4,,15,0,,6,5,,2685,2271,,68.5,112,0.326,0.372,0.563,54.6,53,9.1,9,0.533,14.9,33.6,0.234
122,Howard,33,10,23,0.303,-17.26,-9.75,,7,9,,7,4,,2,18,,2449,2654,,71.3,102.2,0.345,0.387,0.527,46.8,48.1,7.4,7.3,0.491,16,29.5,0.244
123,Idaho State,30,14,16,0.467,-5.77,-3.7,,9,9,,9,5,,5,10,,2211,2232,,70.8,104,0.362,0.389,0.575,48,45.5,8,6.1,0.552,17.5,21.3,0.246
124,Idaho,31,22,9,0.71,0.82,-3.94,,14,4,,11,2,,9,4,,2330,2134,,68,110.1,0.323,0.388,0.577,54.8,56,6.4,7.8,0.547,16.9,31.4,0.237
125,Illinois-Chicago,36,20,16,0.556,-2.91,-4.21,,12,6,,11,7,,9,8,,2708,2597,,73.6,101.9,0.363,0.33,0.546,50.9,47.4,9.2,16.1,0.507,18,28.8,0.267
126,Illinois State,33,18,15,0.545,1.08,3.67,,10,8,,11,3,,3,10,,2364,2418,,69.3,101,0.334,0.461,0.532,47.6,57.6,9.2,11.2,0.503,16.5,25.9,0.228
127,Illinois,32,14,18,0.438,8.5,7.53,,4,14,,12,6,,1,10,,2426,2362,,70.8,105.8,0.335,0.362,0.537,49.8,51.6,10.5,6.3,0.5,15.8,34.1,0.245
128,Incarnate Word,28,7,21,0.25,-17.71,-5.04,,2,16,,6,9,,1,12,,1978,2163,,72.5,97.4,0.402,0.315,0.53,47.6,46.3,8.3,12.3,0.481,19.2,28.3,0.3
129,Indiana State,31,13,18,0.419,1.54,2.43,,8,10,,8,7,,5,7,,2248,2253,,70.1,100.6,0.357,0.415,0.533,51.1,47.2,10.4,9.7,0.498,17.4,28.2,0.252
130,Indiana,31,16,15,0.516,9.89,8.25,,9,9,,12,6,,3,8,,2229,2178,,67.5,105.2,0.364,0.341,0.538,51,54,9.4,12.1,0.511,15.7,31.8,0.239
131,Iona NCAA,34,20,14,0.588,0.76,-2.19,,11,7,,8,3,,7,8,,2702,2602,,71.5,109.2,0.302,0.408,0.569,47.2,56.6,9.3,7.6,0.539,14.3,24.4,0.223
132,Iowa State,31,13,18,0.419,6.88,9.49,,4,14,,9,7,,0,10,,2258,2339,,69.6,103.9,0.298,0.349,0.529,49.5,51.8,6.9,11.1,0.499,14.7,29.6,0.209
133,Iowa,33,14,19,0.424,8.13,7.13,,4,14,,9,6,,1,10,,2630,2597,,71,111.4,0.354,0.34,0.57,53.5,63.6,7.3,10.3,0.543,16,34.1,0.246
134,Purdue-Fort Wayne,33,18,15,0.545,-1.49,-3.24,,7,7,,13,3,,4,10,,2716,2535,,74.6,109.9,0.315,0.446,0.57,49.6,50.8,10.7,8.8,0.541,14.1,26.2,0.227
135,IUPUI,30,11,19,0.367,-9.82,-3.53,,8,10,,9,4,,2,14,,2047,2180,,68.7,98.9,0.324,0.348,0.515,50,52.7,9.9,10.2,0.486,17.7,31.7,0.216
