,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
159,Louisiana State NCAA,27,18,9,0.667,15.68,8.9,,11,6,,11,2,,4,6,,2217,2034,,72.8,112.3,0.34,0.371,0.564,50.1,42.3,11,7.8,0.528,13.9,31.5,0.254
162,Loyola (IL) NCAA,28,24,4,0.857,14.6,-0.09,,16,2,,13,0,,8,3,,2002,1555,,63.9,111,0.315,0.375,0.598,54.1,60.1,10.8,7,0.574,16.6,25.3,0.227
172,Maryland NCAA,29,16,13,0.552,15.32,12.85,,9,11,,11,6,,4,6,,1995,1884,,66.2,104,0.337,0.432,0.561,49.8,55.1,7.6,10.2,0.532,15.4,20.6,0.237
181,Michigan State NCAA,27,15,12,0.556,10.99,12.51,,9,11,,12,3,,3,8,,1864,1905,,69.1,99.9,0.314,0.341,0.515,52.3,64.1,6.6,12.3,0.479,16.3,30.4,0.226
182,Michigan NCAA,24,20,4,0.833,23.33,12.45,,14,3,,13,1,,6,2,,1830,1569,,67.6,112.3,0.289,0.339,0.582,54.5,55.5,6.5,10.6,0.549,14.5,29.4,0.225
191,Missouri NCAA,25,16,9,0.64,12.75,11.03,,8,8,,8,4,,6,4,,1841,1798,,70.5,103.4,0.375,0.375,0.543,50.2,51.1,9.4,9,0.509,16.5,28.6,0.261
195,Morehead State NCAA,30,23,7,0.767,-0.42,-4.53,,17,3,,12,1,,8,5,,2065,1902,,67.2,101.6,0.359,0.351,0.551,54.8,51.8,6.5,14.7,0.522,19.7,31.7,0.245
197,Mount St. Mary's NCAA,22,12,10,0.545,-3.34,-4.75,,9,7,,6,3,,6,6,,1402,1371,,63.9,98.7,0.297,0.363,0.515,53.9,50.6,6.8,10.9,0.487,17.5,31.6,0.201
211,Norfolk State NCAA,23,16,7,0.696,-4.82,-9.39,,8,4,,7,4,,6,3,,1730,1591,,72,103.9,0.384,0.36,0.539,50.6,47.7,8.8,10.6,0.502,15.8,28.9,0.271
216,North Carolina-Greensboro NCAA,29,21,8,0.724,3.91,-2.26,,13,5,,7,3,,10,3,,2135,1956,,70.5,103.9,0.238,0.389,0.506,52,44.3,10.6,12.3,0.482,13.1,31.9,0.163
219,North Carolina NCAA,28,18,10,0.643,16.3,10.01,,10,6,,10,1,,3,7,,2119,1943,,71.9,105.3,0.349,0.282,0.516,57.1,55.8,10,12.8,0.485,16.8,41.2,0.233
