,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,11,20,0.355,-19.6,-4.12,,2,12,,9,5,,0,14,,2214,2228,,67.7,104.2,0.4,0.36,0.559,50.2,54.5,10.4,6.5,0.515,18.6,30.4,0.3
2,Air Force,30,12,18,0.4,-4.08,1.71,,6,12,,8,9,,3,8,,1980,2074,,65.4,100.1,0.377,0.418,0.538,48.8,61.7,8.3,9.9,0.504,17.9,26.7,0.26
3,Akron,34,21,13,0.618,1.16,-0.48,,12,6,,13,2,,6,8,,2332,2276,,65.5,103.6,0.404,0.372,0.527,51,47.6,10,10.5,0.503,16.8,35.2,0.252
4,Alabama A&M,30,14,16,0.467,-13.86,-10.58,,10,8,,7,4,,5,11,,1936,2010,,66.5,95.9,0.421,0.35,0.504,47.1,57.9,9.3,11,0.467,17.1,28.1,0.276
5,Alabama-Birmingham,31,18,13,0.581,0.78,-0.77,,7,9,,12,5,,5,5,,2266,2180,,69.4,104,0.402,0.274,0.496,55,49,7.8,9.9,0.458,15,40.1,0.265
6,Alabama State,32,19,13,0.594,-12.84,-11.4,,12,6,,13,1,,5,10,,2265,2225,,68.1,102.3,0.395,0.323,0.504,49.5,52.4,9.8,9.2,0.465,14.4,33.6,0.267
7,Alabama,32,13,19,0.406,8.34,8.88,,7,11,,13,4,,0,11,,2170,2150,,64.4,104,0.442,0.328,0.537,48.5,47.4,10.5,11.8,0.499,15.8,30.4,0.303
8,Albany (NY) NCAA,34,19,15,0.559,-3.31,-5.22,,9,7,,10,3,,7,11,,2239,2174,,63,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315
9,Alcorn State,31,12,19,0.387,-15.95,-9.27,,9,9,,9,3,,2,13,,1985,2101,,64.8,96.8,0.427,0.271,0.498,47.3,40.8,9,10,0.459,15.1,29.3,0.279
10,American NCAA,33,20,13,0.606,0.69,-3.25,,13,5,,11,3,,9,9,,2081,1951,,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5,0.248
11,Appalachian State,30,9,21,0.3,-15.32,-7.13,,5,11,,7,7,,2,13,,2034,2152,,67.4,99.8,0.403,0.289,0.493,50.6,45.5,9.2,7.2,0.459,14.9,34,0.257
12,Arizona State NCAA,33,21,12,0.636,13.32,7.41,,10,8,,16,1,,4,7,,2486,2291,,69,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5,0.295
13,Arizona NCAA,38,33,5,0.868,23.36,9.04,,15,3,,18,0,,8,3,,2769,2225,,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9,11.5,0.517,13.2,36.4,0.27
14,Little Rock,32,15,17,0.469,-5.39,-1.09,,9,9,,7,6,,6,9,,2288,2371,,68.4,101.4,0.409,0.274,0.519,50.8,48,8.4,11.8,0.47,16.1,31.9,0.302
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.39,-6.9,,11,7,,6,3,,6,12,,1957,2188,,67.9,92.9,0.421,0.35,0.508,46.6,53.1,14,7.3,0.471,19.9,28.9,0.278
16,Arkansas State,32,19,13,0.594,-0.44,-3.18,,10,8,,11,4,,7,8,,2432,2299,,68.6,107.9,0.427,0.411,0.563,48.5,53.3,9.6,7,0.523,15.3,27.1,0.31
17,Arkansas,34,22,12,0.647,14.34,5.57,,10,8,,17,2,,3,7,,2723,2425,,72.5,109.2,0.402,0.332,0.543,47.7,56.1,11.5,13.8,0.501,13.5,31.8,0.292
18,Army,31,15,16,0.484,-6.16,-4.66,,10,8,,7,7,,7,8,,2244,2269,,68.1,105.4,0.322,0.386,0.54,48.9,54.4,8.8,10.9,0.509,16.2,32.1,0.225
19,Auburn,30,14,16,0.467,5.11,5.47,,6,12,,12,6,,2,8,,2144,2155,,67.6,105.6,0.441,0.335,0.535,49.3,48.3,9,12.8,0.489,15.3,31.7,0.318
20,Austin Peay,30,12,18,0.4,-10.5,-5.78,,6,10,,8,6,,3,11,,2287,2368,,71.9,104.8,0.493,0.281,0.568,48.7,55.7,9.4,13.4,0.537,19,30.2,0.328
21,Ball State,30,5,25,0.167,-10.17,0.65,,2,16,,5,9,,0,16,,1967,2214,,67,95.9,0.424,0.39,0.511,52.7,57.6,6.6,5.9,0.468,20.8,35.6,0.293
22,Baylor NCAA,38,26,12,0.684,15.8,10.11,,9,9,,13,4,,5,5,,2843,2577,,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8,14,0.521,14.7,40.6,0.306
23,Belmont,36,26,10,0.722,3.29,-1.88,,14,2,,13,1,,10,8,,2876,2661,,69.5,114.9,0.402,0.417,0.612,48.8,58.1,9.9,6.9,0.58,16.5,28.7,0.298
24,Bethune-Cookman,32,7,25,0.219,-16.86,-7.53,,5,11,,5,6,,2,18,,2032,2252,,63.4,99.4,0.359,0.358,0.507,47.2,46.1,9.7,7.6,0.464,16.9,32.9,0.258
25,Binghamton,30,7,23,0.233,-16.15,-6.15,,4,12,,3,10,,4,12,,1840,2140,,65.6,92.3,0.442,0.366,0.489,47.5,47.7,9.2,6.2,0.439,18.5,29.1,0.306
26,Boise State,34,21,13,0.618,8.83,3.86,,9,9,,12,4,,5,7,,2591,2347,,65.9,113.9,0.374,0.364,0.564,53.3,45.7,8.9,6,0.524,12.9,33.2,0.28
