"","X","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1",1,"Louisville","Amer",0.971034,1,118.835,10,87.5596,2,68.7938,67,5.3148474910599,14,0.4498,0.4498,23,0.6026,0.6026,4,2014
"2",2,"Arizona","P12",0.963574,2,116.155,19,87.3664,1,64.321,284,9.4417184543182,22,0.5758,0.5758,30,0.7088,0.7088,1,2014
"3",3,"Florida","SEC",0.957514,3,115.87,20,88.3746,3,63.0652,325,11.720617117867,24,0.5914,0.5914,31,0.7128,0.7128,1,2014
"4",4,"Virginia","ACC",0.944922,4,114.638,26,89.5342,5,61.2236,345,8.1908697955004,22,0.5628,0.5628,31,0.7,0.7,1,2014
"5",5,"Wisconsin","B10",0.944055,5,122.676,4,95.9497,38,63.9327,297,7.9473674433913,24,0.6019,0.6019,35,0.7517,0.7517,2,2014
"6",6,"Duke","ACC",0.943151,6,125.905,1,98.6206,69,66.6796,165,6.4757482603484,24,0.6022,0.6022,31,0.7186,0.7186,3,2014
"7",7,"Tennessee","SEC",0.937371,7,118.128,13,93.3611,17,63.0867,324,0.36321922913518,22,0.5683,0.5683,30,0.6937,0.6937,11,2014
"8",8,"Michigan St.","B10",0.931921,8,119.59,6,95.2537,32,66.2339,191,6.9350743798411,20,0.5507,0.5507,34,0.73,0.73,4,2014
"9",9,"Michigan","B10",0.929499,9,125.018,3,99.9026,88,62.5712,332,7.7289589042315,25,0.5293,0.5293,37,0.7314,0.7314,2,2014
"10",10,"Wichita St.","MVC",0.929451,10,116.352,18,92.9837,14,65.1082,248,8.1132364631384,22,0.6059,0.6059,17,0.5564,0.5564,1,2014
"11",11,"Kansas","B12",0.926975,11,119.187,7,95.5571,34,68.1689,91,6.8990124029121,32,0.7237,0.7237,35,0.771,0.771,2,2014
"12",12,"Pittsburgh","ACC",0.926085,12,117.143,17,94.0252,20,63.7693,305,4.1382080562347,13,0.4849,0.4849,29,0.6895,0.6895,9,2014
"13",13,"Villanova","BE",0.925979,13,115.184,23,92.4653,11,67.5558,117,8.3341393853521,23,0.5796,0.5796,28,0.686,0.686,2,2014
"14",14,"Connecticut","Amer",0.917125,14,112.528,49,91.3014,9,64.8058,262,4.7345617997184,19,0.5726,0.5726,32,0.6928,0.6928,7,2014
"15",15,"UCLA","P12",0.916657,15,119.01,9,96.6125,46,70.1928,33,4.5394607940535,14,0.4924,0.4924,27,0.6796,0.6796,4,2014
"16",16,"Syracuse","ACC",0.915628,16,114.215,32,92.828,12,61.5035,343,7.8675255642861,19,0.5496,0.5496,29,0.691,0.691,3,2014
"17",17,"Creighton","BE",0.914367,17,125.217,2,101.914,123,65.4119,236,5.6224235068472,21,0.5639,0.5639,27,0.6873,0.6873,3,2014
"18",18,"Ohio St.","B10",0.910736,18,108.366,108,88.5482,4,65.3627,239,4.4764686601268,11,0.4894,0.4894,29,0.6974,0.6974,6,2014
"19",19,"Iowa","B10",0.908895,19,121.212,5,99.2379,76,70.8664,20,1.174578829,16,0.4394,0.4394,32,0.6754,0.6754,11,2014
"20",20,"Oklahoma St.","B12",0.906728,20,115.586,21,94.8449,27,69.2456,58,1.3722541135279,16,0.5178,0.5178,30,0.6952,0.6952,9,2014
"21",21,"Gonzaga","WCC",0.906371,21,113.641,38,93.2833,16,66.5198,172,3.9533233470428,21,0.583,0.583,23,0.6334,0.6334,8,2014
"22",22,"Kentucky","SEC",0.906163,22,117.196,16,96.2225,40,65.909,212,3.8979414113098,25,0.6245,0.6245,34,0.7381,0.7381,8,2014
"23",23,"San Diego St.","MWC",0.896049,23,109.412,91,90.7231,8,63.9839,295,5.9789368914085,26,0.5684,0.5684,24,0.6186,0.6186,4,2014
"24",24,"VCU","A10",0.895523,24,108.3,109,89.8446,6,70.8104,22,3.6199727376073,19,0.5741,0.5741,24,0.6526,0.6526,5,2014
"25",25,"Iowa St.","B12",0.890344,25,118.569,11,98.8282,71,71.6363,14,7.4903844280103,19,0.5766,0.5766,33,0.7356,0.7356,3,2014
"26",26,"Baylor","B12",0.888511,26,119.166,8,99.4873,81,62.9486,327,3.113264577593,19,0.5606,0.5606,33,0.7298,0.7298,6,2014
"27",27,"North Carolina","ACC",0.888298,27,113.376,41,94.6708,24,70.8309,21,4.2222557974057,22,0.5705,0.5705,31,0.7082,0.7082,6,2014
"28",28,"Oklahoma","B12",0.879267,28,118.179,12,99.4397,80,71.605,15,4.0776784106538,16,0.5556,0.5556,30,0.7057,0.7057,5,2014
"29",29,"Cincinnati","Amer",0.878319,29,108.654,102,91.4954,10,63.4541,313,5.3066436024493,17,0.4891,0.4891,26,0.6131,0.6131,5,2014
"30",30,"Oregon","P12",0.871963,30,118.101,14,99.9547,90,69.2991,55,2.6258448208788,14,0.5238,0.5238,27,0.6757,0.6757,7,2014
"31",31,"New Mexico","MWC",0.869327,31,112.838,46,95.6956,36,66.163,197,4.4312739231774,20,0.6023,0.6023,22,0.626,0.626,7,2014
"33",33,"Harvard","Ivy",0.864096,33,111.867,56,95.2464,31,65.5156,229,2.2441063838599,17,0.5288,0.5288,16,0.5098,0.5098,12,2014
"35",35,"Texas","B12",0.850676,35,112.446,50,96.6576,47,68.6696,72,3.6307440416449,17,0.5148,0.5148,31,0.7033,0.7033,7,2014
"37",37,"Memphis","Amer",0.847947,37,112.577,48,96.9502,51,69.4933,52,2.7952325904128,24,0.5323,0.5323,30,0.6458,0.6458,8,2014
"38",38,"Saint Louis","A10",0.847736,38,104.947,169,90.3918,7,67.4685,124,3.8208968550534,16,0.4896,0.4896,24,0.6268,0.6268,5,2014
"39",39,"Kansas St.","B12",0.847321,39,107.867,118,92.9331,13,64.8326,260,0.53000621738785,13,0.4658,0.4658,29,0.6768,0.6768,9,2014
"40",40,"Stanford","P12",0.843637,40,111.734,58,96.5009,45,67.2219,136,1.1320715845339,22,0.5813,0.5813,31,0.7002,0.7002,10,2014
"45",45,"Arizona St.","P12",0.8252,45,110.326,74,96.3977,43,69.2737,56,1.185326758216,15,0.5,0.5,28,0.672,0.672,10,2014
"46",46,"Providence","BE",0.824942,46,114.93,24,100.436,100,64.8653,259,1.2438014154025,18,0.5542,0.5542,28,0.6966,0.6966,11,2014
"50",50,"Dayton","A10",0.818785,50,112.984,45,99.0976,75,65.3632,238,0.62430491205464,17,0.5282,0.5282,25,0.6584,0.6584,11,2014
"51",51,"Nebraska","B10",0.817188,51,108.249,112,95.0331,29,66.4279,178,1.265124026349,19,0.508,0.508,32,0.7048,0.7048,11,2014
"52",52,"George Washington","A10",0.815057,52,110.177,78,96.8451,48,67.164,143,3.1699574667663,20,0.5376,0.5376,25,0.6403,0.6403,9,2014
"55",55,"BYU","WCC",0.807846,55,113.819,36,100.458,101,72.9699,5,0.56471455019006,29,0.6517,0.6517,25,0.6515,0.6515,10,2014
"56",56,"North Carolina St.","ACC",0.806604,56,114.847,25,101.435,112,66.476,173,0.63365959761343,16,0.4734,0.4734,30,0.6853,0.6853,12,2014
"60",60,"Xavier","BE",0.796451,60,112.044,52,99.5102,82,65.9793,207,1.4352919382982,22,0.5572,0.5572,30,0.6955,0.6955,12,2014
"61",61,"Massachusetts","A10",0.795213,61,108.977,96,96.8506,50,71.7981,12,3.5753460907283,22,0.655,0.655,25,0.695,0.695,6,2014
"65",65,"Colorado","P12",0.774045,65,106.863,132,96.0121,39,66.9335,155,2.4062402744858,19,0.5743,0.5743,30,0.6916,0.6916,8,2014
"68",68,"North Dakota St.","Sum",0.761286,68,113.938,34,103.008,143,64.0271,293,0.18632064719022,21,0.5905,0.5905,16,0.5182,0.5182,12,2014
"71",71,"Tulsa","CUSA",0.753738,71,105.574,157,95.7881,37,68.3881,84,-3.5649324410001,22,0.5629,0.5629,19,0.5289,0.5289,13,2014
"72",72,"Stephen F. Austin","Slnd",0.752656,72,111.958,54,101.632,119,63.4566,312,1.7181188131767,11,0.3966,0.3966,10,0.3526,0.3526,12,2014
"73",73,"Manhattan","MAAC",0.751858,73,106.183,143,96.4251,44,69.5745,47,-0.51121356030196,18,0.5858,0.5858,14,0.4939,0.4939,13,2014
"79",79,"New Mexico St.","WAC",0.738488,79,111.633,59,101.997,124,67.1234,149,-2.3430388304848,24,0.5539,0.5539,15,0.4273,0.4273,13,2014
"93",93,"North Carolina Central","MEAC",0.701782,93,107.918,115,100.178,94,64.1038,290,-0.57643282274226,24,0.4701,0.4701,11,0.304,0.304,14,2014
"94",94,"Mercer","ASun",0.699256,94,109.6,90,101.846,122,65.2081,243,-2.756958695662,23,0.596,0.596,14,0.4176,0.4176,14,2014
"111",111,"Louisiana Lafayette","SB",0.655661,111,110.513,70,104.494,174,70.0299,36,-3.769913827273,29,0.5752,0.5752,17,0.495,0.495,14,2014
"120",120,"Delaware","CAA",0.623685,120,110.743,66,105.983,202,72.3479,9,-1.3557779921591,23,0.548,0.548,16,0.4907,0.4907,13,2014
"123",123,"American","Pat",0.617838,123,101.847,221,97.6802,57,61.4102,344,-5.4848136154105,20,0.4795,0.4795,15,0.4599,0.4599,15,2014
"124",124,"Eastern Kentucky","OVC",0.617717,124,112.069,51,107.489,226,66.0398,203,-3.3360109246026,20,0.427,0.427,14,0.4089,0.4089,15,2014
"140",140,"Western Michigan","MAC",0.560534,140,104.712,173,102.52,133,67.0327,151,-2.8955696656419,14,0.4554,0.4554,14,0.4779,0.4779,14,2014
"163",163,"Milwaukee","Horz",0.51225,163,104.297,181,103.853,158,67.7726,107,-6.0720819794486,14,0.4357,0.4357,15,0.4989,0.4989,15,2014
"170",170,"Albany","AE",0.489995,170,102.783,204,103.142,146,63.1911,319,-8.6499194488006,17,0.5044,0.5044,12,0.3934,0.3934,16,2014
"174",174,"Weber St.","BSky",0.483104,174,105.969,148,106.593,214,64.3257,283,-6.9215755716602,27,0.594,0.594,12,0.368,0.368,16,2014
"193",193,"Cal Poly","BW",0.435559,193,102.026,216,104.352,169,60.3707,347,-10.704453077664,34,0.6757,0.6757,20,0.5418,0.5418,16,2014
"197",197,"Wofford","SC",0.427455,197,99.6674,266,102.233,128,62.1267,339,-6.5293016590759,29,0.6307,0.6307,15,0.3915,0.3915,15,2014
"210",210,"Mount St. Mary's","NEC",0.398562,210,107.088,126,110.988,288,69.9214,38,-9.4442515869676,26,0.545,0.545,14,0.4103,0.4103,16,2014
"212",212,"Coastal Carolina","BSth",0.39463,212,98.2976,280,102.024,126,67.5001,122,-7.664666109857,15,0.4331,0.4331,11,0.3769,0.3769,16,2014
"245",245,"Texas Southern","SWAC",0.329305,245,106.086,145,112.855,319,67.5922,114,-9.7242383189393,21,0.5307,0.5307,9,0.2897,0.2897,16,2014
"352",1,"Louisville","BE",0.974259,1,115.877,8,84.4841,2,67.1346,119,8.9676040048452,22,0.573,0.573,35,0.7336,0.7336,1,2013
"353",2,"Florida","SEC",0.969444,2,115.717,9,85.6719,4,62.8034,297,4.0971352517764,25,0.6116,0.6116,27,0.6762,0.6762,3,2013
"354",3,"Indiana","B10",0.969155,3,120.995,2,89.6553,16,67.7686,92,7.7872668714699,15,0.4598,0.4598,34,0.6993,0.6993,1,2013
"355",4,"Gonzaga","WCC",0.959866,4,118.878,3,90.2017,20,65.1336,214,7.6490474755041,26,0.6389,0.6389,23,0.6108,0.6108,1,2013
