"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1","Duke","ACC",0.975221,1,120.782,1,87.7617,6,66.2747,222,8.4331148209138,24,0.5972,0.5972,35,0.7483,0.7483,1,2010
"2","Kansas","B12",0.966376,2,119.998,2,89.6083,11,68.5088,110,11.719504280154,21,0.5686,0.5686,34,0.7198,0.7198,1,2010
"3","Syracuse","BE",0.955454,3,117.545,6,90.039,13,70.9964,33,7.5427321767028,17,0.4904,0.4904,30,0.6966,0.6966,1,2010
"4","Kentucky","SEC",0.955274,4,114.491,20,87.7321,5,69.5865,70,8.610731484921,12,0.5228,0.5228,26,0.6899,0.6899,1,2010
"5","Ohio St.","B10",0.945412,5,117.033,8,91.3296,23,66.0388,229,5.6564293505,23,0.4878,0.4878,32,0.6755,0.6755,2,2010
"6","Kansas St.","B12",0.945052,6,115.931,13,90.5241,18,70.4542,46,6.7670487840271,22,0.593,0.593,37,0.757,0.757,2,2010
"7","West Virginia","BE",0.942949,7,116.623,10,91.38,24,63.5682,309,8.0318585279616,27,0.6312,0.6312,38,0.7699,0.7699,2,2010
"8","Baylor","B12",0.941129,8,119.423,4,93.8454,48,65.5991,250,5.5937214858521,19,0.488,0.488,36,0.72,0.72,3,2010
"9","Wisconsin","B10",0.93943,9,115.076,18,90.6681,19,60.3513,340,3.8652554950392,23,0.5745,0.5745,32,0.707,0.707,4,2010
"10","Purdue","B10",0.931849,10,108.292,68,86.2628,3,67.4966,162,6.5702791671692,18,0.5199,0.5199,32,0.7004,0.7004,4,2010
"11","BYU","MWC",0.928755,11,116.555,11,93.231,39,71.7915,21,4.0018140401196,20,0.5182,0.5182,24,0.5995,0.5995,7,2010
"12","Texas A&M","B12",0.922469,12,111.303,41,89.7399,12,66.0842,227,4.3870491107056,25,0.5462,0.5462,38,0.7323,0.7323,5,2010
"13","California","P10",0.921019,13,119.424,3,96.4563,77,68.3393,125,1.7005987354233,30,0.6716,0.6716,31,0.7256,0.7256,8,2010
"14","Butler","Horz",0.916302,14,108.659,62,88.2449,7,64.3725,290,4.5347817456351,33,0.7436,0.7436,27,0.6602,0.6602,5,2010
"15","Maryland","ACC",0.91616,15,117.297,7,95.2756,65,70.2843,49,3.3255421628655,16,0.4535,0.4535,32,0.6874,0.6874,4,2010
"16","Georgetown","BE",0.912402,16,115.799,14,94.4522,54,66.67,209,4.2861349977904,25,0.5881,0.5881,36,0.7449,0.7449,3,2010
"17","Clemson","ACC",0.911256,17,110.359,49,90.1259,15,69.4893,71,1.5056468198233,15,0.4713,0.4713,32,0.688,0.688,7,2010
"18","Villanova","BE",0.911202,18,116.549,12,95.1867,63,72.2932,15,5.5270797715309,20,0.5175,0.5175,34,0.7071,0.7071,2,2010
"19","Missouri","B12",0.910816,19,111.169,43,90.8302,21,70.6164,38,1.629136131643,16,0.4429,0.4429,32,0.6708,0.6708,10,2010
"20","Xavier","A10",0.910385,20,115.604,15,94.4981,55,69.8265,62,2.8276877340933,31,0.6576,0.6576,30,0.6798,0.6798,6,2010
"21","Temple","A10",0.909115,21,107.176,85,87.7266,4,61.5327,335,5.3327663500888,26,0.6308,0.6308,25,0.6506,0.6506,5,2010
"22","Texas","B12",0.90908,22,113.111,27,92.588,34,72.7355,11,3.8809135172462,17,0.5218,0.5218,33,0.7048,0.7048,8,2010
"23","Michigan St.","B10",0.906255,23,112.494,32,92.3527,30,66.7726,200,3.5163470311728,18,0.5183,0.5183,32,0.7035,0.7035,5,2010
"24","Marquette","BE",0.905015,24,114.47,21,94.0937,50,64.06,297,1.7595166991326,20,0.457,0.457,33,0.6879,0.6879,6,2010
"25","Minnesota","B10",0.90364,25,113.467,25,93.3985,40,67.1192,182,-0.33484581770211,18,0.4797,0.4797,32,0.6832,0.6832,11,2010
