"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1","Kansas","B12",0.961628,1,116.081,7,87.7222,2,67.3505,226,10.853923417317,29,0.6382,0.6382,34,0.7376,0.7376,NA,2020
"2","Baylor","B12",0.951409,2,114.453,13,88.3681,3,66.2441,273,8.536690387045,21,0.5501,0.5501,31,0.7063,0.7063,NA,2020
"3","Gonzaga","WCC",0.947271,3,121.264,1,94.3307,41,71.9699,33,7.6851984159023,19,0.4784,0.4784,21,0.5671,0.5671,NA,2020
"4","Dayton","A10",0.944509,4,119.502,3,93.3968,29,67.5368,219,6.8055339631735,18,0.5352,0.5352,20,0.5881,0.5881,NA,2020
"5","Michigan St.","B10",0.932708,5,114.772,11,91.3167,11,69.3133,117,5.2256548311512,21,0.5507,0.5507,34,0.7391,0.7391,NA,2020
"6","Duke","ACC",0.931075,6,115.265,9,91.9148,17,71.7313,39,5.0926662608372,21,0.5807,0.5807,26,0.6788,0.6788,NA,2020
"7","Creighton","BE",0.928904,7,120.585,2,96.4363,67,68.3201,170,6.0975391103307,21,0.5278,0.5278,31,0.7035,0.7035,NA,2020
"8","Ohio St.","B10",0.919697,8,114.529,12,92.6484,22,66.1801,278,3.7978408169134,19,0.5091,0.5091,33,0.7192,0.7192,NA,2020
"9","San Diego St.","MWC",0.912116,9,113.774,17,92.8289,25,64.6766,330,6.6406935079822,18,0.4374,0.4374,19,0.5459,0.5459,NA,2020
"10","Louisville","ACC",0.911957,10,115.131,10,93.9521,37,66.9437,244,4.338140116903,18,0.5191,0.5191,26,0.6728,0.6728,NA,2020
"11","Villanova","BE",0.904664,11,113.991,15,93.7332,34,66.2288,275,6.7909583156011,25,0.6039,0.6039,33,0.737,0.737,NA,2020
"12","Arizona","P12",0.904137,12,110.861,40,91.208,9,69.299,119,0.8103866426665,21,0.5809,0.5809,26,0.6891,0.6891,NA,2020
"13","Houston","Amer",0.904026,13,112.048,29,92.1949,20,65.7118,296,2.6716882360622,21,0.5782,0.5782,24,0.6595,0.6595,NA,2020
"14","Michigan","B10",0.90258,14,113.015,21,93.1241,26,68.5829,158,2.8004433776628,25,0.5573,0.5573,37,0.7401,0.7401,NA,2020
"15","Penn St.","B10",0.901958,15,111.43,34,91.8745,15,70.9042,54,3.3993422108546,13,0.4569,0.4569,32,0.707,0.707,NA,2020
"16","West Virginia","B12",0.901443,16,107.415,77,88.6091,4,69.3062,118,3.3766187787098,21,0.6479,0.6479,32,0.7456,0.7456,NA,2020
"17","BYU","WCC",0.897177,17,115.883,8,95.987,61,69.425,104,2.7417877105625,25,0.6084,0.6084,24,0.6148,0.6148,NA,2020
"18","Oregon","P12",0.896617,18,117.495,5,97.3731,80,65.1702,313,4.7598951462919,24,0.6059,0.6059,27,0.6928,0.6928,NA,2020
"19","Wisconsin","B10",0.895146,19,110.9,39,92.0336,18,63.5431,342,4.1856917972491,20,0.5553,0.5553,35,0.7351,0.7351,NA,2020
"20","Florida St.","ACC",0.892134,20,111.164,36,92.5072,21,69.9166,86,6.853790469531,21,0.5528,0.5528,28,0.6865,0.6865,NA,2020
"21","Seton Hall","BE",0.891531,21,112.231,28,93.4464,31,69.8495,89,4.6562736605482,25,0.5865,0.5865,34,0.7354,0.7354,NA,2020
