"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"260","High Point","BSth",0.290653,260,98.5063,276,106.453,216,66.7834,301,-12.351105726232,12,0.3214,0.3214,8,0.3209,0.3209,NA,2018
"261","Brown","Ivy",0.289881,261,100.994,235,109.177,273,72.7481,37,-11.554903490009,13,0.3551,0.3551,11,0.3956,0.3956,NA,2018
"262","Montana St.","BSky",0.287473,262,101.907,213,110.276,292,70.7952,97,-13.855274598642,11,0.3828,0.3828,11,0.4071,0.4071,NA,2018
"263","Green Bay","Horz",0.286333,263,99.7888,252,108.037,253,73.2203,25,-14.42021121795,17,0.3886,0.3886,12,0.3849,0.3849,NA,2018
"264","Portland","WCC",0.285563,264,98.9465,266,107.16,233,68.3191,227,-14.365062449307,15,0.412,0.412,17,0.4941,0.4941,NA,2018
"265","Northern Illinois","MAC",0.284352,265,102.093,206,110.624,298,68.3136,228,-12.993431509332,14,0.4133,0.4133,13,0.4683,0.4683,NA,2018
"266","South Florida","Amer",0.274891,266,98.9124,268,107.617,242,65.7885,330,-14.856325959221,7,0.2869,0.2869,16,0.4848,0.4848,NA,2018
"267","UMKC","WAC",0.267435,267,98.2975,280,107.299,235,70.7361,99,-15.178525615711,16,0.4589,0.4589,15,0.4664,0.4664,NA,2018
"268","New Hampshire","AE",0.2671,268,97.9885,285,106.978,227,66.656,311,-16.035989826097,14,0.3777,0.3777,11,0.3807,0.3807,NA,2018
"269","Arkansas St.","SB",0.264607,269,104.061,178,113.734,326,70.8141,96,-15.201280457229,13,0.3647,0.3647,12,0.4264,0.4264,NA,2018
"270","Army","Pat",0.263792,270,99.0039,264,108.246,261,71.5483,66,-13.485086798426,9,0.3531,0.3531,8,0.3327,0.3327,NA,2018
"271","Robert Morris","NEC",0.259645,271,93.1752,338,102.064,129,70.5936,107,-11.770258634404,20,0.5136,0.5136,11,0.3701,0.3701,NA,2018
"272","Rice","CUSA",0.258529,272,98.9224,267,108.414,266,68.9197,197,-17.350817515188,16,0.4466,0.4466,15,0.4836,0.4836,NA,2018
"273","Holy Cross","Pat",0.256854,273,97.7037,288,107.16,234,64.0268,345,-14.967986498313,11,0.428,0.428,8,0.3717,0.3717,NA,2018
"274","Santa Clara","WCC",0.255694,274,98.9968,265,108.635,267,65.7308,331,-13.475445894813,9,0.3217,0.3217,15,0.4633,0.4633,NA,2018
"275","UMass Lowell","AE",0.252842,275,103.496,189,113.721,325,72.5501,42,-14.143244140754,7,0.2981,0.2981,8,0.3519,0.3519,NA,2018
"276","North Florida","ASun",0.249551,276,107.107,118,117.868,344,75.0908,10,-10.932843751484,29,0.5495,0.5495,19,0.4453,0.4453,NA,2018
"277","Western Illinois","Sum",0.248681,277,96.4088,309,106.138,208,69.1546,184,-11.00240217329,10,0.2795,0.2795,13,0.4035,0.4035,NA,2018
"278","Quinnipiac","MAAC",0.248498,278,100.815,239,110.998,303,67.7022,254,-16.329676140639,11,0.4185,0.4185,9,0.3973,0.3973,NA,2018
"279","Prairie View A&M","SWAC",0.248307,279,100.116,245,110.238,291,72.1191,50,-11.66567404569,30,0.6587,0.6587,14,0.3497,0.3497,NA,2018
"280","Abilene Christian","Slnd",0.242271,280,96.5301,306,106.592,218,69.7655,156,-11.31902816164,10,0.3083,0.3083,9,0.3222,0.3222,NA,2018
"281","IUPUI","Horz",0.237534,281,97.5823,292,107.998,249,67.3088,273,-13.525387402575,20,0.4287,0.4287,13,0.4072,0.4072,NA,2018
"282","Lafayette","Pat",0.236833,282,101.359,227,112.215,316,69.4118,175,-16.764858625872,14,0.4079,0.4079,9,0.356,0.356,NA,2018
"283","Fairleigh Dickinson","NEC",0.233428,283,101.669,220,112.744,320,71.651,62,-13.050828751345,23,0.4979,0.4979,12,0.3533,0.3533,NA,2018
"284","Eastern Kentucky","OVC",0.231485,284,101.093,233,112.212,315,69.4467,172,-14.31983270036,16,0.4342,0.4342,13,0.4141,0.4141,NA,2018
"285","UT Rio Grande Valley","WAC",0.228547,285,97.4463,295,108.32,263,75.1009,9,-10.76029680612,14,0.4066,0.4066,13,0.431,0.431,NA,2018
"286","Nebraska Omaha","Sum",0.22751,286,103.046,196,114.602,333,71.6978,59,-13.930656238069,23,0.5086,0.5086,19,0.5094,0.5094,NA,2018
"287","Morehead St.","OVC",0.224284,287,98.0111,284,109.178,274,69.8543,153,-14.706683639504,25,0.5233,0.5233,16,0.447,0.447,NA,2018
"288","Cleveland St.","Horz",0.223417,288,97.9429,286,109.15,271,68.2122,232,-16.728245861817,18,0.4311,0.4311,13,0.417,0.417,NA,2018
"289","Fordham","A10",0.222324,289,94.1109,332,104.937,185,67.1759,280,-14.879249743975,15,0.4361,0.4361,16,0.5246,0.5246,NA,2018
"290","New Orleans","Slnd",0.222187,290,96.9641,300,108.126,256,67.1131,283,-10.663003649125,24,0.5192,0.5192,12,0.3621,0.3621,NA,2018
"291","UC Riverside","BW",0.221592,291,92.7875,339,103.499,160,69.5187,170,-16.208579308732,17,0.4638,0.4638,13,0.4439,0.4439,NA,2018
"292","McNeese St.","Slnd",0.215527,292,99.1714,261,110.962,301,70.9746,90,-12.609087853088,19,0.3948,0.3948,11,0.3365,0.3365,NA,2018
"293","Tennessee Martin","OVC",0.214939,293,94.3253,330,105.572,194,67.409,271,-15.900945983106,14,0.3717,0.3717,11,0.3815,0.3815,NA,2018
"294","San Jose St.","MWC",0.212971,294,95.4537,320,106.944,226,68.3252,226,-18.501997960025,11,0.4486,0.4486,17,0.563,0.563,NA,2018
"295","Sacramento St.","BSky",0.212198,295,98.5916,272,110.504,296,66.9383,292,-18.570124108939,18,0.4872,0.4872,14,0.4767,0.4767,NA,2018
"296","Samford","SC",0.211011,296,106.492,126,119.433,348,71.8582,58,-15.295306852645,22,0.4612,0.4612,15,0.4293,0.4293,NA,2018
"297","Siena","MAAC",0.209039,297,96.0506,316,107.834,244,67.3068,274,-18.631906044403,16,0.5118,0.5118,11,0.4337,0.4337,NA,2018
"298","Little Rock","SB",0.206327,298,93.4066,336,105.016,188,66.1963,321,-18.976769180383,14,0.4118,0.4118,13,0.45,0.45,NA,2018
"299","Bethune Cookman","MEAC",0.206169,299,98.5969,271,110.86,300,76.89,3,-11.431521353181,9,0.321,0.321,5,0.2143,0.2143,NA,2018
