RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,SEED
50,North Carolina St.,ACC,33,23,114.1,100.1,0.8192,51.8,49.8,13.6,19.1,30.7,26.6,25.3,34,51.5,50.6,34.9,32.2,69.4,0.9,11
56,Missouri,SEC,33,24,118.5,104.7,0.8069,55.1,52.3,16,24.3,26.8,37.3,29.5,35.2,55.9,51.7,36.1,35.4,69.3,4,7
58,Mississippi St.,SEC,34,21,103.9,91.9,0.804,46.7,46.2,19.4,21.7,35.5,28.6,33.8,27.6,50.4,45.8,26.6,31.1,63.7,0.8,11
59,VCU,A10,34,27,106.2,94,0.8023,52.2,47,19.5,24.1,29,29.8,41.8,30.5,52.3,46.2,34.7,32.3,68.1,1.1,12
60,Nevada,MWC,31,22,110.2,97.6,0.8023,50.5,49,15.2,18.7,22.9,25.1,39.5,31.4,50.3,49.3,33.8,32.5,66.1,1.3,11
61,Providence,BE,32,21,115.7,102.5,0.8021,51.5,50,16.9,16.9,35.2,26.7,36.8,25.5,50.9,49.6,35.1,33.9,67.1,0.9,11
69,Oral Roberts,Sum,30,30,113.6,101.6,0.7844,56.1,48.5,13.2,17.6,24.5,27.4,24.6,22,56.6,46.6,37,34.2,70.5,2,12
71,Arizona St.,P12,34,22,106.4,95.2,0.7827,47.5,46.4,16.9,20.6,29.6,31.8,30.8,33.4,47.9,43.8,31.4,33.6,68.4,1.2,11
72,Iona,MAAC,34,27,110,98.4,0.7826,51.8,45.9,15.3,20.9,32,30.5,29,31.2,50.8,47,36,29.2,68.8,-1.5,13
73,College of Charleston,CAA,33,31,110.4,98.8,0.7814,51.5,47.9,16.7,19.3,35.1,25.5,32.7,24.7,52.9,49.1,33.3,30.3,71.2,1.8,12
79,Kent St.,MAC,32,28,107.8,97.2,0.7653,51.3,47.2,16.3,22.6,30.9,30.2,32,38.8,52.2,47.8,33.2,30.9,68.1,1.1,13
83,Pittsburgh,ACC,34,23,113.8,103.7,0.7447,53.1,49,16.3,16.9,29.9,28.8,32.2,30,52.1,48.5,36.2,33.2,67.3,-0.5,11
88,Louisiana Lafayette,SB,30,26,112.4,102.9,0.7337,53,50.6,17.5,18.1,33.8,26.4,37.7,33.8,52.2,49.2,36.6,35.9,68.5,-0.4,13
94,Furman,SC,31,27,113.8,105,0.7171,55.6,50.6,15.8,18.4,29.6,27.1,34.7,31.8,59.1,51.2,34.4,33.1,68.5,-1.9,13
98,Montana St.,BSky,32,25,105.7,98.4,0.6964,50.9,49.4,17.6,20.1,25.7,25.5,44.4,35.5,52.4,48,32,34.8,66.4,-2.5,14
100,Vermont,AE,32,23,110.4,102.8,0.693,54.9,50.7,14.2,16.8,19.3,22.5,28.4,26.9,55.5,50,36.2,34.6,64.7,-3.7,15
109,Colgate,Pat,33,26,112.6,106.2,0.6604,58.6,51.9,14.9,17.6,24.9,24.1,27.6,20.3,57.1,51.5,40.9,34.9,67.8,-3.5,15
111,Princeton,Ivy,27,21,108.8,103.2,0.6489,52.5,48,16.9,14.5,28.4,22.8,32.2,29.3,53.5,47.2,34,33.1,67.5,-3.2,15
116,Kennesaw St.,ASun,31,26,106.5,101.5,0.635,52.9,51.2,17.9,19.6,27.5,25.8,36.5,36.2,51.3,50.5,37.1,34.8,68.6,-1.2,14
118,Grand Canyon,WAC,32,24,112,106.9,0.6316,52.9,47.2,18.4,15,30.5,30.3,37.8,33.2,50.5,46.8,37.6,32,65,-3.5,14
119,UC Santa Barbara,BW,32,27,111,106.2,0.6259,54.2,49.8,16.8,18.7,26.6,26.1,34.9,29.2,54.8,48.9,35.1,34.5,64.7,-1.1,14
158,Northern Kentucky,Horz,32,22,103.1,102.4,0.521,49.8,51.3,17.5,23.2,31.3,32.8,27.4,30.8,47.7,48.9,35.2,36.7,61.9,-6.6,16
176,UNC Asheville,BSth,32,27,102.7,103.1,0.4884,53.9,48,20,17.9,25.8,28.7,41.3,26.8,51.4,49.1,38.8,30.5,68.5,-1.7,15
184,Texas A&M Corpus Chris,Slnd,30,24,105.9,107.2,0.4648,50.9,52.4,18,20.7,32.7,27.5,35.3,38.5,48.9,54.3,36.5,33.2,69.1,-5.9,16
214,Howard,MEAC,31,22,103.2,106.6,0.4077,52,50.6,22.8,20.7,33.8,31.6,32.8,34.6,49.9,50.8,37.2,33.6,69,-7.2,16
263,Southeast Missouri St.,OVC,34,19,100.1,108.2,0.2905,50.1,51.3,17.3,19,25,28.3,38.2,44.1,50.3,50.7,33.2,35,72.1,-11.4,16
281,Texas Southern,SWAC,32,14,96.4,105.3,0.2675,46.2,49.3,20.3,18.5,29.3,27.7,34.9,38.1,47.4,48.7,28.7,33.6,69.4,-13.3,16
310,Fairleigh Dickinson,NEC,32,19,105.9,118.6,0.2136,51.5,55.8,16.3,21.4,31.4,28.9,27.9,34.8,51.4,56.1,34.4,36.9,68.8,-12.2,16
