"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1","Ohio St.","B10",0.976933,1,124.94,1,90.2056,10,65.1768,246,11.961611437738,15,0.4703,0.4703,33,0.7087,0.7087,1,2011
"2","Kansas","B12",0.965751,2,119.724,4,89.5522,6,69.4342,47,10.237144000327,19,0.5474,0.5474,28,0.6916,0.6916,1,2011
"3","Duke","ACC",0.963365,3,119.497,5,89.9267,8,69.924,38,9.4617790190898,22,0.6225,0.6225,31,0.719,0.719,1,2011
"4","Texas","B12",0.950078,4,114.29,20,88.4604,2,66.9208,156,5.446066339042,25,0.555,0.555,29,0.6735,0.6735,4,2011
"5","Kentucky","SEC",0.94792,5,118.16,7,91.8112,22,66.2714,191,5.2166027605102,29,0.6073,0.6073,35,0.7171,0.7171,4,2011
"6","Pittsburgh","BE",0.946061,6,118.644,6,92.485,26,63.5859,307,7.6454599866331,17,0.493,0.493,30,0.6901,0.6901,1,2011
"7","Wisconsin","B10",0.939792,7,122.126,2,96.1689,62,57.9255,345,5.8828480565813,20,0.4811,0.4811,37,0.729,0.729,4,2011
"8","Notre Dame","BE",0.936912,8,122.052,3,96.5283,70,64.483,274,7.8050448218701,20,0.4935,0.4935,34,0.7114,0.7114,2,2011
"9","Purdue","B10",0.935826,9,114.271,21,90.5175,12,67.0363,152,7.2161674187876,21,0.5629,0.5629,35,0.7318,0.7318,3,2011
"10","San Diego St.","MWC",0.932606,10,112.471,30,89.4983,5,63.5944,306,8.6644341916001,20,0.6108,0.6108,26,0.6701,0.6701,2,2011
"11","North Carolina","ACC",0.930156,11,111.601,37,89.1026,4,71.8192,17,7.432818593872,26,0.6385,0.6385,36,0.7484,0.7484,2,2011
"12","Illinois","B10",0.929812,12,113.865,25,90.9527,15,66.6219,170,1.5924982591178,23,0.5876,0.5876,38,0.758,0.758,9,2011
"13","Connecticut","BE",0.926246,13,114.708,18,92.0522,23,65.6204,229,6.9592287723301,23,0.5288,0.5288,39,0.7446,0.7446,3,2011
"14","Syracuse","BE",0.923824,14,113.911,24,91.691,21,66.3517,186,6.1579407643991,15,0.5463,0.5463,32,0.7243,0.7243,3,2011
"15","Louisville","BE",0.923707,15,110.669,48,89.0941,3,68.0196,102,4.6961285293284,12,0.45,0.45,31,0.685,0.685,4,2011
"16","BYU","MWC",0.919695,16,115.999,13,93.8372,40,71.4499,21,7.1697891195451,22,0.6075,0.6075,27,0.6691,0.6691,3,2011
"17","Florida","SEC",0.913298,17,115.195,17,93.8667,41,63.8692,295,5.256727062401,22,0.5512,0.5512,30,0.6893,0.6893,2,2011
"18","Washington","P10",0.912665,18,117.253,9,95.6106,55,71.8396,15,1.8936368628731,20,0.5852,0.5852,28,0.708,0.708,7,2011
"19","West Virginia","BE",0.909867,19,114.43,19,93.5893,37,63.5957,305,3.0829088978715,25,0.6795,0.6795,37,0.7688,0.7688,5,2011
"20","Arizona","P10",0.907052,20,117.631,8,96.4915,69,66.3117,189,4.7206649357495,18,0.5223,0.5223,29,0.6877,0.6877,5,2011
"21","Kansas St.","B12",0.903976,21,111.382,40,91.6514,19,68.2516,89,1.9715935311182,23,0.5319,0.5319,32,0.684,0.684,5,2011
"22","Clemson","ACC",0.900769,22,109.363,60,90.275,11,64.8425,257,0.6529901265827,16,0.4952,0.4952,29,0.6714,0.6714,12,2011
"23","Cincinnati","BE",0.899749,23,110.265,51,91.1095,17,64.1312,288,3.3526424943277,7,0.3407,0.3407,28,0.633,0.633,6,2011
"24","Utah St.","WAC",0.89716,24,109.323,61,90.555,13,63.3365,311,3.7343889794222,18,0.4823,0.4823,16,0.5189,0.5189,12,2011
"25","Michigan","B10",0.89071,25,111.885,36,93.2271,34,62.6617,322,1.8649819248314,22,0.5178,0.5178,39,0.742,0.742,8,2011
"26","St. John's","BE",0.881051,26,111.104,43,93.3487,35,66.9443,155,3.235958996227,21,0.5757,0.5757,36,0.7392,0.7392,6,2011
"27","UNLV","MWC",0.879774,27,108.904,63,91.5966,18,67.9355,106,2.8115830873897,23,0.5669,0.5669,27,0.6419,0.6419,8,2011
"28","Gonzaga","WCC",0.878621,28,110.476,49,93.0066,30,68.0864,98,0.34680984050593,27,0.6191,0.6191,24,0.6031,0.6031,11,2011
"29","Wichita St.","MVC",0.878017,29,112.543,29,94.7933,49,65.7264,227,-0.90810655132025,18,0.4652,0.4652,19,0.5663,0.5663,NA,2011
"30","Marquette","BE",0.877217,30,114.142,23,96.2028,63,67.5907,122,0.77156697729833,21,0.4548,0.4548,36,0.7038,0.7038,11,2011
"31","Virginia Tech","ACC",0.876803,31,109.506,58,92.3257,25,65.1376,247,0.9511233870245,20,0.5263,0.5263,28,0.6562,0.6562,NA,2011
"32","Florida St.","ACC",0.876184,32,102.553,154,86.5074,1,69.1098,60,1.1868645823819,17,0.4798,0.4798,29,0.6577,0.6577,10,2011
"33","Vanderbilt","SEC",0.874418,33,115.782,16,97.8033,91,67.7417,116,1.8108788869117,22,0.569,0.569,28,0.6719,0.6719,5,2011
"34","Villanova","BE",0.872171,34,113.749,26,96.2562,64,66.3396,187,1.4904244600204,15,0.5182,0.5182,30,0.7048,0.7048,9,2011
"35","Belmont","ASun",0.868548,35,110.236,52,93.5443,36,69.3377,51,1.0275653152762,19,0.4641,0.4641,12,0.389,0.389,13,2011
"36","Georgetown","BE",0.864156,36,112.157,34,95.489,54,65.0346,250,4.3567472111877,23,0.6322,0.6322,36,0.7601,0.7601,6,2011
"37","Butler","Horz",0.863562,37,110.985,45,94.5327,45,64.7087,264,-0.40325961733798,29,0.6385,0.6385,25,0.6393,0.6393,8,2011
"38","Temple","A10",0.859166,38,108.982,62,93.1243,31,65.5319,234,2.140001479949,26,0.6295,0.6295,23,0.6046,0.6046,7,2011
"39","Penn St.","B10",0.852169,39,112.175,33,96.3258,67,60.7893,337,1.7398356013516,16,0.5383,0.5383,39,0.7663,0.7663,10,2011
