"","predictions"
"1",3.92867078790099
"2",3.6218963242795
"3",3.75167753674628
"4",2.41615919527842
"5",2.68097314974606
"6",2.59926063825715
"7",2.59801338581185
"8",2.48911544048929
"9",2.81716634467905
"10",1.53705763702534
"11",2.79507693053638
"12",1.46235409857106
"13",1.89483540280853
"14",2.64802539880087
"15",1.40578450276276
"16",0.915486770024828
"17",0.146149261821132
"18",1.3694729557315
"19",1.939896209524
"20",1.97902578391433
"21",1.22381935551586
"22",1.58407924901682
"23",0.141774134037457
"24",1.34818549196802
"25",1.11859054509359
"26",0.0466277832035083
"27",0.556256656435373
"28",0.664517294319563
"29",0.0709551717914512
"30",0.701706775491123
"31",0.37945652656799
"32",-0.0361525133534106
"33",0.316763452724158
"34",0.684728767820253
"35",-0.385077434088202
"36",-1.43931755123106
"37",-0.865489386823012
"38",-1.09238831666547
"39",0.280122633266866
"40",-1.51026282104103
"41",-1.28108279101439
"42",-0.589251779222126
"43",0.160020856158146
"44",-0.832963592788155
"45",-1.13564635436201
"46",-0.852291642004892
"47",-0.616696918498629
"48",0.106986741800681
"49",-0.910110292338758
"50",-0.795616192071679
"51",-0.955560445649671
"52",-0.890892931719952
"53",-0.788782389609983
"54",-1.06640353391588
"55",-1.23183984126682
"56",-0.919258298562496
"57",-1.36442305671159
"58",-1.36157154608658
"59",-0.76135185608836
"60",-1.23092932298117
"61",-1.08497898888015
"62",-1.12309045804856
"63",-1.43437124544882
"64",-1.59248365995917
"65",-1.33332369780353
"66",-1.63245982925283
"67",-1.50653933977489
"68",-1.80459375033709
