"","x"
"1",2.93993754839018
"2",3.32615229018078
"3",2.28696803433208
"4",2.57563798716881
"5",1.02460320410231
"6",2.52652082205211
"7",2.11137077830009
"8",2.59405893879255
"9",1.81978715496553
"10",1.41836147230352
"11",1.68711382897765
"12",2.29843473611621
"13",2.615360229683
"14",1.18267373794542
"15",1.75363601942504
"16",0.494261628824898
"17",1.41296360846003
"18",2.02247399695719
"19",1.90118582164717
"20",1.59663003743349
"21",1.39657308708594
"22",1.94396026933753
"23",0.712042829809687
"24",0.763392599820473
"25",1.20706570201956
"26",1.7293287734243
"27",1.32844088047362
"28",1.11643185769136
"29",0.805384775204787
"30",-0.0974775717339528
"31",1.41635356403491
"32",0.242884237690659
"33",0.720057167764933
"34",1.10873240107687
"35",0.654161615134171
"36",-0.448376934187518
"37",1.00201819484224
"38",-0.150664578813168
"39",-0.217655546241458
"40",-0.20681586326592
"41",-0.382057606589357
"42",-0.206323234369852
"43",-0.392024189209134
"44",0.0550768804653717
"45",-0.76109973387071
"46",-0.436713228532071
"47",-0.219687995228743
"48",0.23524496810906
"49",-0.160792003489342
"50",-0.598182243642292
"51",-0.929643582632397
"52",-0.884190359823171
"53",-0.537094345606075
"54",-0.734594619705861
"55",-0.961820111289871
"56",-0.808084349007624
"57",-0.817968614942818
"58",-0.830500336284324
"59",-0.8869168624231
"60",-0.780976163278805
"61",-0.856713877961202
"62",-0.947290965412777
"63",-0.977215457763696
"64",-0.902660478600569
"65",-0.855081842030769
"66",-1.03233697422239
"67",-0.88086522919462
"68",-0.863696400947287
