RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
21,Wisconsin,B10,34,24,127.2,101.6,0.9294,54.5,51.3,12.8,14.4,29.4,28.2,31.9,30.5,54.8,52.3,36.1,33.3,68.7,5.4,5
22,Kansas,B12,33,23,117.8,94.4,0.9279,51.6,45.2,15.5,14,29.5,30.1,32.6,27.7,51.1,44.7,35,30.7,67.6,6.3,4
23,Ohio St.,B10,33,21,125.2,101.6,0.9171,56.5,50.3,15.4,15.8,30.8,30,37.8,35.1,58.2,52.3,36,31.6,66.2,2.9,8
24,UCLA,B10,34,23,124.5,101.8,0.9106,53.9,50.4,13.4,18.1,31.1,32.4,33.1,34.7,52,52.7,38.2,31.8,64.7,3.6,7
25,Saint Mary's,WCC,32,27,119.4,97.6,0.9105,52.9,46.7,16.4,15.2,37.6,23.8,35.8,25.7,50.2,46.6,38.6,31.2,65.3,4,7
26,Iowa,B10,33,21,122.1,100.2,0.9069,56.6,52.7,15.2,21,30.1,28,34.5,39.1,58.7,54,35.7,33.7,63,2,9
27,North Carolina,ACC,32,24,121.4,100,0.903,54.6,48.2,14,13.6,31.4,28.1,37.4,23.8,56.7,46.1,34.5,34.5,68,4.9,6
28,Utah St.,MWC,34,28,123,102.1,0.8953,56.6,49.6,15.4,20.6,33.1,32.2,38.7,38.9,59.3,48.7,35.1,33.9,67.6,4,9
29,Santa Clara,WCC,34,26,125,103.7,0.8952,54.6,51.8,15.6,20.1,36.7,32.3,25.8,38.3,56.5,53.2,34.9,33,69.3,2.1,10
30,Clemson,ACC,34,24,116.6,97,0.8923,52.6,48.9,14.2,17.5,28.1,25.7,37.1,33.1,53.8,49,34.1,32.6,64.3,3.2,8
31,Kentucky,SEC,34,21,119.9,100,0.89,53.1,48.8,15,15.8,33.8,30.1,37.5,37,54.4,49.6,34.1,31.6,68.3,3.3,7
32,Cincinnati,B12,33,18,112.3,93.7,0.8894,50.5,47.3,17,18.2,30.6,27.3,29.4,30,50.2,47.9,33.9,31,67.7,-2,N/A
33,BYU,B12,34,23,124.7,104.3,0.8865,54.7,51.2,15.3,16.5,34.6,29.3,34.2,28.9,56.2,50,34.9,35.3,69.8,4.5,6
34,Indiana,B10,32,18,121.9,102.1,0.8852,56.1,49,15.1,15.1,26.9,29.3,35,37,60.3,48.6,34.7,33.1,66.2,-0.4,N/A
35,Miami FL,ACC,33,25,121.1,101.5,0.8843,55.6,51.7,16.2,18.4,37,26.3,37.5,29,57.2,50.8,34.7,35.4,67.9,3.9,7
36,Villanova,BE,32,24,119.6,100.5,0.8805,53.7,51.3,15.1,18.7,32.4,31.7,31.3,28.9,54.4,51.5,35.3,33.9,64.9,3.9,8
37,Georgia,SEC,32,22,124.3,104.8,0.8776,54.6,50.1,14.3,18.4,35.2,34.9,37,30.8,57.3,49.9,34.1,33.7,72,2.6,8
